# Toomey & Johnstone (1952), Table 2 "Pressure Losses in Fluidized Beds",
# journal page 221. One row per run, in the paper's printed order. Read from
# 400 dpi pdftoppm renders; the PDF has NO text layer (1 byte per page).
#
# dPke_over_dPmf is EMPTY where the printed cell is over-struck or blotted
# beyond reading, or where the paper prints nothing. Left empty deliberately:
# the ratio column is the least legible thing in this paper and no arithmetic
# constraint in the paper pins an individual cell of it. See the sidecar for a
# cell-by-cell legibility record and for which cells were recoverable from
# Table 3 (recorded there as an inference, not written into this file).
#
# dPmf and Lmf ARE pinned, by the bed-weight identity dPmf/Lmf = const per bead
# size; the sidecar names the four cells that identity decided.
# flags: semicolon-separated tokens; empty means a clean read.
bead_no,dp_in,G_lb_hr_ft2,dPmf_inH2O,Lmf_in,dPke_over_dPmf,flags
1,0.0334,929,44.3,25.0,0.160,
1,0.0334,716,44.3,25.0,,ratio_last_two_digits_blotted_0.06x
1,0.0334,466,44.3,25.0,0.077,
2,0.0148,1542,23.9,14.0,,ratio_last_digit_blotted_0.09x
2,0.0148,1198,23.9,14.0,,ratio_last_digit_blotted_0.15x
2,0.0148,968,23.9,14.0,,ratio_last_two_digits_blotted_0.1xx
2,0.0148,746,30.9,18.1,0.142,
2,0.0148,742,23.9,14.0,,ratio_cell_overstruck_illegible
2,0.0148,737,40.5,23.8,0.291,ratio_middle_digit_smudged
2,0.0148,737,35.7,21.0,0.241,ratio_middle_digit_smudged
2,0.0148,613,39.1,23.0,0.278,
2,0.0148,442,40.5,23.8,0.220,
2,0.0148,270,40.7,23.9,0.177,
2,0.0148,141,41.0,24.1,,ratio_last_two_digits_blotted
3,0.00861,1520,15.5,9.4,0.206,
3,0.00861,1342,19.9,12.0,,no_value_printed
3,0.00861,1199,17.4,10.5,0.189,
3,0.00861,988,21.6,13.0,,no_value_printed;Lmf_pinned_by_bed_weight_identity_13.0_not_13.8
3,0.00861,747,38.1,23.0,0.349,dPmf_pinned_by_bed_weight_identity_38.1_not_36.1
3,0.00861,743,31.4,19.0,0.131,
3,0.00861,741,25.8,15.6,0.094,
3,0.00861,745,21.8,13.2,0.046,dPmf_pinned_by_bed_weight_identity_21.8_not_21.6
3,0.00861,743,19.8,12.0,0.071,dPmf_pinned_by_bed_weight_identity_19.8_not_19.6
3,0.00861,345,40.7,24.6,0.243,
3,0.00861,272,37.8,22.8,0.204,
3,0.00861,196,41.1,24.8,0.151,
3,0.00861,66.3,41.1,24.8,,no_value_printed
3,0.00861,66.3,41.1,24.8,,no_value_printed
3,0.00861,66.0,40.7,24.6,,no_value_printed
3,0.00861,66.0,40.7,24.6,0.0541,
4,0.00418,346,27.4,17.0,,no_value_printed
4,0.00418,342,20.1,12.4,0.104,
4,0.00418,201,27.4,17.0,0.179,
4,0.00418,155,27.4,17.0,0.164,ratio_last_digit_smudged
4,0.00418,127,27.4,17.0,0.135,ratio_middle_digit_smudged
4,0.00418,103,27.4,17.0,0.117,
5,0.00215,197,38.0,23.4,,no_value_printed
5,0.00215,123,39.3,24.2,,no_value_printed
5,0.00215,70.3,39.4,24.3,,no_value_printed
5,0.00215,40.1,39.4,24.3,,no_value_printed
5,0.00215,23.7,39.4,24.3,,no_value_printed
