# Toomey & Johnstone (1952), Table 3 "Average Velocities of Particles at Wall
# and Corresponding Pressure Losses", journal page 223. Particle velocities
# were taken from 16-mm Fastax high-speed motion-picture film of the moving bed
# photographed through glass prisms set flush with the column wall (p. 220).
# Read from 400 dpi pdftoppm renders; the PDF has NO text layer.
#
# up_over_sqrt_dp_printed is the PAPER'S OWN derived column, stored exactly as
# printed so the notebook can recompute it from up and Table 1's dp and compare.
# Do not use it as an input to anything.
# flags: semicolon-separated tokens; empty means a clean read.
bead_no,G_lb_hr_ft2,up_ft_s,up_over_sqrt_dp_printed_ft05_s,dPke_over_L_lb_ft3,flags
2,737,2.40,65.7,31.5,
2,613,2.46,67.4,28.5,
2,270,1.38,37.8,14.2,
2,141,0.28,7.67,2.98,
3,747,1.84,68.5,34.7,
3,345,1.72,64.0,25.6,
3,272,1.47,55.0,22.7,
3,66,0.177,6.58,5.88,
4,346,0.83,44.2,20.8,
4,201,0.71,37.8,17.2,
4,155,0.60,31.9,15.6,
4,127,0.77,41.0,14.3,
4,103,0.38,20.2,12.9,up_last_digit_smudged_0.38_pinned_by_the_printed_20.2
