appendix,symbol,description,value,units
A,Re_t,particle Reynolds number at terminal velocity,7.54,-
A,Sh_star_t,local Sherwood number from eq. (1) at Re_t,4.20,-
A,K_bc,bubble-to-cloud interchange coefficient from eq. (10),46.5,1/s
A,ub_minus_u0,rise velocity offset u_b - u_0 from eq. (3),12.0,cm/s
A,one_minus_ef_times_ub,(1 - eps_f)(u_0 + 12) from eq. (4),6.6,cm/s
A,Re_per_u0,Re/u_0 for these solids,0.184,s/cm
A,Sh_slope_u0,slope of (Sh)_over-all on u_0,0.00829,s/cm
A,Sh_intercept,intercept of (Sh)_over-all,-0.0101,-
A,Sh_slope_Re,slope of (Sh)_over-all on Re (line A of figure 3),0.045,-
B,Re_t,particle Reynolds number at terminal velocity,20.3,-
B,Nu_star_t,local Nusselt number from eq. (1) at Re_t,4.39,-
B,H_bc,bubble-to-cloud heat interchange coefficient from eq. (11),0.0360,cal/(cc s C)
B,ub_minus_u0,rise velocity offset u_b - u_0 from eq. (3),5.8,cm/s
B,one_minus_ef_times_ub,(1 - eps_f)(u_0 + 5.8) from eq. (4) as printed,8.70,cm/s
B,Re_per_u0,Re/u_0 for these solids,0.236,s/cm
B,Nu_intercept,intercept of (Nu)_apparent (line A' of figure 5),0.070,-
B,Nu_slope_Re,slope of (Nu)_apparent on Re (line A' of figure 5),0.051,-
C,u_br,rise velocity of a single bubble from eq. (51),42.8,cm/s
C,u_b,bubble rise velocity in the bed from eq. (3),53.9,cm/s
C,delta,bubble volume fraction of the bed from eq. (2),0.206,-
C,K_bc,bubble-to-cloud interchange coefficient from eq. (10),5.44,1/s
C,K_ce,cloud-to-emulsion interchange coefficient from eq. (12),2.23,1/s
C,gamma_c,solids in cloud and wake per bubble volume from eq. (17),0.40,-
C,gamma_e,solids in emulsion per bubble volume from eq. (15),1.53,-
C,Kr_per_Km,K_r divided by the fixed-bed rate group from eq. (45),0.706,1/s
