# Krishna & Ellenberger (1996), AIChE J 42(9) 2627-2634.
# Table 2 (physical properties), the Figure 11 operating conditions, and the
# Table 3 deviations the authors report for their own model and for Wilkinson's.
# Read from a 600 dpi render of journal pages 2628-2633; the text layer of this
# scan mangles subscripts (SF6 as "SF,") and drops digits.
# delta is the average relative deviation over ND data points, as defined in the
# paper's notation list.
quantity,value,unit,source,note
liquid_density,763,kg/m3,"Table 2","tetradecane"
liquid_viscosity,2.2,mPa s,"Table 2","tetradecane"
surface_tension,27,mN/m,"Table 2","tetradecane (estimated, as Table 2 states)"
column_diameter,0.10,m,"Figure 11","sintered glass plate distributor"
rho_G_helium,0.18,kg/m3,"Figure 11 legend",
rho_G_air,1.3,kg/m3,"Figure 11 legend",
rho_G_argon,1.83,kg/m3,"Figure 11 legend",
rho_G_SF6,6.7,kg/m3,"Figure 11 legend",
reilly_constant_B,3.85,-,"text, page 2630","B in the Reilly Eq. 8 transition correlation"
delta_eps_b_wilkinson,1.25,-,"Table 3","large-bubble holdup, Wilkinson Eqs. 1-4, ND = 1735"
delta_eps_b_this_work,0.16,-,"Table 3","large-bubble holdup, their Eqs. 8 and 19, ND = 1735"
delta_eps_total_wilkinson,0.24,-,"Table 3","total holdup, Wilkinson Eqs. 1-4, ND = 1735"
delta_eps_total_this_work,0.23,-,"Table 3","total holdup, their Eqs. 8, 19 and 20, ND = 1735"
