# The ten curve labels printed on the SAME enhancement-factor chart in the two
# books, and what each book's own printed axis title says the label means.
# Froment's label is q = E_i - 1; Levenspiel's is E_i.  Both figures are RASTERS
# and both were read at their native resolution: Froment's Fig. 6.3.2-1 is an
# embedded 148 ppi JPEG (extracted and enlarged 4x), Levenspiel's Fig. 23.4 a
# 600 ppi bilevel scan.  See the .meta.yaml sidecar.
label,in_froment_fig_6_3_2_1,in_levenspiel_fig_23_4,froment_parameter_as_printed,levenspiel_parameter_as_printed
1,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
2,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
5,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
10,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
20,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
50,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
100,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
200,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
500,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
1000,yes,yes,a D_B C_Bb / (b D_A C_Ai),E_i = 1 + D_B C_B H_A / (b D_A p_Ai)
