# Bosch, Versteeg & van Swaaij (1989), Table 1 (journal page 2738), transcribed
# from a 600 dpi page render. Parameters used in evaluation of the absorption
# experiments of Savage et al. (1984), T = 363 K.
# Single-valued rows apply to both amines (printed centred in the original).
parameter,units,value_DEA,value_HDA,source_in_paper
c_Am,mol m-3,600,600,Estimated from Savage et al. (1984)
c_carb,mol m-3,2000,2000,Estimated from Savage et al. (1984)
k_L,m s-1,1.5e-4,1.5e-4,Estimated from Savage et al. (1980)
m,-,0.1,0.1,Savage et al. (1980)
k_g,m s-1,100,100,No gas phase resistance
K_c1,m3 mol-1,1.09e3,1.09e3,Chakravarty (1985)
K_c2,mol m-3,7.29e-8,7.29e-8,Chakravarty (1985)
K_w,mol2 m-6,3.33e-7,3.33e-7,Harned (1958)
K_p,mol m-3,3.17e-5,3.17e-7,Perrin (1965) / Savage et al. (1984)
K_c,m3 mol-1,7.06e-4,1.41e-4,Mahajani and Danckwerts (1982) / Savage et al. (1984)
k_OH,m3 mol-1 s-1,1.87e3,1.87e3,Savage et al. (1980)
k_2,m3 mol-1 s-1,214,1581,Blauwhoff et al. (1984) / Versteeg and van Swaaij (1988)
D_CO2,m2 s-1,2.5e-9,2.5e-9,Savage et al. (1980)
D_Am,m2 s-1,1.69e-9,1.69e-9,D propto Vb^-0.6; Vb from Perry and Chilton (1973)
D_ion,m2 s-1,1.96e-9,1.96e-9,D propto Vb^-0.6; Vb from Perry and Chilton (1973)
