# Every constant this page uses that Larkins, White & Jeffrey (1961) print, with
# the page it is printed on and the string as printed.  Read on 300 ppi crops.
quantity,value,units,book_page,printed_as
raschig_bed_porosity,0.520,-,233,"the fraction voids was 0.520"
raschig_specific_surface,148,sq ft per cu ft,233,"The specific surface was 148 sq. ft./cu. ft."
raschig_alpha,266,-,236,"the 3/8-in. Raschig rings were correlated by alpha and beta of 266 and 2.33 respectively"
raschig_beta,2.33,-,236,"the 3/8-in. Raschig rings were correlated by alpha and beta of 266 and 2.33 respectively"
sphere_alpha,118.2,-,236,"For 3/8-in. spheres alpha and beta were 118.2 and 1.0"
sphere_beta,1.0,-,236,"For 3/8-in. spheres alpha and beta were 118.2 and 1.0"
cylinder_alpha,150,-,236,"The data for cylinders were in agreement with the values reported by Ergun (3) for alpha and beta, 150 and 1.75"
cylinder_beta,1.75,-,236,"The data for cylinders were in agreement with the values reported by Ergun (3) for alpha and beta, 150 and 1.75"
sphere_bed_porosity,0.362,-,233,"The fraction voids was 0.362"
cylinder_bed_porosity,0.357,-,233,"The fraction voids was measured to be 0.357"
cylinder_specific_surface,371,sq ft per cu ft,233,"the specific surface calculated to be 371 sq. ft/cu. ft."
water_density,62.4,lb per cu ft,233,"Water 62.4 ( 3 2 )"
air_density_1atm,0.0808,lb per cu ft,233,"Air 0.0808 (32)"
air_density_reference_T,32,degF,233,"Air 0.0808 (32)"
air_viscosity,0.0192,centipoise,233,"Air 0.0192 ( 8 0 )"
air_viscosity_reference_T,80,degF,233,"Air 0.0192 ( 8 0 )"
g_c,32.17,poundal per lb-mass,239,"g_c = conversion factor, 32.17 pdl./lb.-mass in English units"
eq22_numerator,0.416,-,237,"0.416"
eq22_offset,0.666,-,237,"(log_10 chi)^2 + 0.666"
eq23_c0,-0.774,-,237,"log_10 R_l = - 0.774 + 0.525 (log_10 chi) - 0.109 (log_10 chi)^2"
eq23_c0_figure7,-0.744,-,237,"log_10 R_l = -0.744 + 0.525 log_10 X - 0.109 (log_10 X)^2 -- the SAME equation printed inside Figure 7, with a different constant term"
eq23_c1,0.525,-,237,"log_10 R_l = - 0.774 + 0.525 (log_10 chi) - 0.109 (log_10 chi)^2"
eq23_c2,-0.109,-,237,"log_10 R_l = - 0.774 + 0.525 (log_10 chi) - 0.109 (log_10 chi)^2"
eq23_chi_min,0.05,-,237,"for 0.05 < chi < 30"
eq23_chi_max,30,-,237,"for 0.05 < chi < 30"
friction_loss_standard_deviation_pct,13,percent,237,"The standard deviation of the friction loss data is 13%"
liquid_saturation_standard_deviation_pct,16,percent,237,"The standard deviation is 16% for the liquid-saturation data"
friction_loss_within_20pct,87,percent,237,"Some 87% of the values of delta_lg/(delta_l + delta_g) lie within +/- 20% of the correlating curve"
saturation_within_20pct,80,percent,237,"Still 80% of the data fall within 20% of the correlating curve"
experimental_column_length,7,ft,232,"The column itself was a plastic pipe about 7 ft. long"
commercial_reactor_length,40,ft,232,"The commercial unit was a 40-ft. reactor, several feet in diameter"
equipment_pressure_limit,90,psig,234,"the pressure level was limited to a maximum of 90 lb./sq. in. gauge by the equipment"
