marker,v_l_m_s,v_g_m_s,rho_g_kg_m3,dP_L_N_m3,assumed_gas,extraction_note
open_circle,0.008,0.08,0.486,3697,helium,hole centroid of merged pair
open_circle,0.008,0.08,1.610,6314,ambiguous,hole centroid of merged pair
open_circle,0.008,0.08,10.731,12527,ambiguous,hole centroid
open_circle,0.008,0.08,34.289,23439,nitrogen,hole centroid
open_circle,0.008,0.08,70.377,31824,nitrogen,hole centroid
filled_circle,0.008,0.15,0.493,7623,helium,eroded centroid
filled_circle,0.008,0.15,1.778,13732,ambiguous,eroded centroid
filled_circle,0.008,0.15,9.736,26919,ambiguous,eroded centroid
filled_circle,0.008,0.15,29.220,44011,nitrogen,eroded centroid
filled_circle,0.008,0.15,72.939,74225,nitrogen,eroded centroid
open_square,0.008,0.32,0.490,17349,helium,hole centroid
open_square,0.008,0.32,1.614,29508,ambiguous,hole centroid
open_square,0.008,0.32,8.922,65781,ambiguous,hole centroid
open_square,0.008,0.32,29.405,107376,nitrogen,hole centroid
open_square,0.008,0.32,70.479,167471,nitrogen,hole centroid
filled_square,0.004,0.15,0.433,4018,helium,eroded centroid of merged pair
filled_square,0.004,0.15,1.623,7809,ambiguous,eroded centroid of merged pair
filled_square,0.004,0.15,9.721,19534,ambiguous,eroded centroid
filled_square,0.004,0.15,29.178,33603,nitrogen,eroded centroid
filled_square,0.004,0.15,70.581,52030,nitrogen,eroded centroid
