marker,v_g_m_s,rho_g_kg_m3,v_l_m_s,beta_dyn,extraction_note
open_circle,0.05,52.2,0.00197,0.1663,hole centroid of merged pair
open_circle,0.05,52.2,0.00401,0.2395,hole centroid of merged pair
open_circle,0.05,52.2,0.00802,0.3276,hole centroid
open_circle,0.05,52.2,0.01498,0.4196,hole centroid
filled_circle,0.11,52.2,0.00200,0.1398,component centroid
filled_circle,0.11,52.2,0.00400,0.1891,component centroid
filled_circle,0.11,52.2,0.00800,0.2581,component centroid
filled_circle,0.11,52.2,0.01498,0.3404,component centroid
open_square,0.24,52.2,0.00198,0.0994,hole centroid
open_square,0.24,52.2,0.00401,0.1283,hole centroid
open_square,0.24,52.2,0.00800,0.1803,hole centroid
open_square,0.24,52.2,0.01497,0.2396,hole centroid
filled_square,0.05,10.4,0.00199,0.1796,"top-of-merged pair; y=top+17.5px, x from column mean"
filled_square,0.05,10.4,0.00401,0.2574,"top-of-merged pair; y=top+17.5px, x from column mean"
filled_square,0.05,10.4,0.00801,0.3591,component centroid
filled_square,0.05,10.4,0.01499,0.4695,component centroid
