quantity,value,unit,source
water_density,1000,kg/m3,Table 2
water_viscosity,1.0e-3,N s/m2,Table 2
water_surface_tension,72e-3,N/m,Table 2
ethanol_density,790,kg/m3,Table 2
ethanol_viscosity,1.2e-3,N s/m2,Table 2
ethanol_surface_tension,22e-3,N/m,Table 2
etg40_density,1050,kg/m3,Table 2
etg40_viscosity,2.9e-3,N s/m2,Table 2
etg40_surface_tension,60e-3,N/m,Table 2
n2_density_per_bar,1.15,kg/m3 per bar,Table 2 (rho = 1.15 x P_r)
he_density_per_bar,0.16,kg/m3 per bar,Table 2 (rho = 0.16 x P_r)
n2_viscosity_1bar,0.017e-3,N s/m2,Table 2
n2_viscosity_100bar,0.019e-3,N s/m2,Table 2
he_viscosity_1bar,0.019e-3,N s/m2,Table 2
he_viscosity_100bar,0.020e-3,N s/m2,Table 2
cylinder_dp,3.2e-3,m,Section 1 (3.2 x 3.2 mm alumina cylinders)
cylinder_bed_porosity,0.43,-,Section 2.1
sphere_dp,3.0e-3,m,Section 1 (3 +/- 0.5 mm glass spheres)
sphere_bed_porosity,0.39,-,Section 2.1
eps_beta_residual,0.06,-,Section 3.4.1 (eps*beta_r = 0.06 for all well-wetted systems)
bed_height_hydrodynamic,2.70,m,Section 2.2
bed_height_absorption,0.53,m,Section 2.1
column_inner_diameter,51e-3,m,Section 2.1
K_2M_DEA,9.5e-4,m/s,Table 1 (m*sqrt(k1p c_DEA^p D_CO2))
m_2M_DEA,0.70,-,Table 1
K_DEA_ETG,5.0e-4,m/s,Table 1
m_DEA_ETG,0.65,-,Table 1
Re_l_min,2,-,Section 3.4.2 (Eq. 9 fitted range)
Re_l_max,55,-,Section 3.4.2
Ga_l_min,3.2e3,-,Section 3.4.2
Ga_l_max,0.32e6,-,Section 3.4.2
dP_rho_gL_max,16,-,Section 3.4.2
Re_g_min,200,-,Section 3.3 (Eq. 8 fitted range)
Re_g_max,5000,-,Section 3.3
beta_t_min,0.25,-,Section 3.3
eq8_mean_rel_error,0.12,-,Section 3.3
eq8_error_std,0.14,-,Section 3.3
eq9_mean_rel_error,0.08,-,Section 3.4.2 (220 hold-up experiments)
eq9_error_std,0.1,-,Section 3.4.2
temperature,293,K,Table 2 caption
