# Everything Itoh (1987), AIChE J 33(9) 1576-1578, prints about hydrogen permeation
# through the palladium wall: Eq. 1, its inputs, and the permeation rate constant he
# computes from them. All values read off the NATIVE 300 dpi page bitmaps (the scan is
# 300 dpi bilevel CCITT, so a 600 dpi render is a 2x upsample carrying no extra
# information). See the sidecar for what Itoh attributes to whom - the half-power
# exponent to Bohmholdt and Wicke (1967), the solubility constant C_0 to Sieverts and
# Danz (1936) - and for the one reconstructed pair of values (r_i, r_o).
quantity,value,unit,kind,where_stated
exponent_n,0.5,-,stated law,"Analysis, p. 1576: Q_H 'assumed to obey the half-power pressure law (Bohmholdt and Wicke, 1967), i.e., it is proportional to the difference between the roots of the hydrogen partial pressures in the reaction and separation sides'"
P_0,1.013e5,Pa,stated,"p. 1576, sentence immediately below Eq. 1"
D_H_in_Pd,9.23e-10,m2/s,stated (literature value quoted by Itoh),"p. 1577 col. 1; attributed to Nagamoto and Inoue (1985), at 473 K"
C_0,1280,mol/m3,stated (literature value quoted by Itoh),"p. 1577 col. 1; attributed to Sieverts and Danz (1936), at 473 K - the standard concentration of hydrogen dissolved in palladium in equilibrium with gas-phase H2 at P_0"
alpha_H,4.47e-5,mol/s,stated (computed by the author from Eq. 1),"p. 1577 col. 1: 'alpha_H calculated was 4.47 x 10^-5 mol.s^-1'"
l_0,0.14,m,stated,"Experimental Method, p. 1576: palladium tube '140 mm long'"
wall_thickness,2.0e-4,m,stated,"Experimental Method, p. 1576: '200 um thick'"
r_i,8.5e-3,m,reconstructed,"selected by the alpha_H identity, not printed: the text says '17.0 mm OD' but only r_i = 8.5 mm reproduces the printed alpha_H (see sidecar). Established on page H1.4 and re-derived here"
r_o,8.7e-3,m,reconstructed,"r_i + the printed 200 um wall thickness"
temperature,473,K,stated,"Experimental Method, p. 1576: thermostat kept at 473 K"
u_C0,2.90e-7,mol/s,operating condition,"Results and Discussion, p. 1578 - the feed rate of the one reported run; used here only to size the hydrogen export duty"
feed_cyclohexane_fraction,0.197,-,operating condition,"Experimental Method, p. 1576: 19.7 % saturated vapor of cyclohexane in argon"
v_A0,11.8e-5,mol/s,operating condition,"Results and Discussion, p. 1578 - the argon purge rate of the one reported run; used here only to compute the hydrogen mole fraction the LOADED permeate side of Itoh's reactor actually carries"
measured_conversion,0.997,-,measurement,"Results and Discussion, p. 1578 - the conversion attained at u_C0 = 2.90e-7 mol/s and v_A0 = 11.8e-5 mol/s; used here only to size the hydrogen actually made"
