# Robeson, L. M., "The upper bound revisited", J. Membr. Sci. 320(1-2) 390-400 (2008).
# Tables 1-11, each captioned "Experimental data points close to the present empirical upper
# bound for <gas pair> separation". One row per printed table row; 117 rows in total.
# P_fast_barrer is the permeability of the FAST gas (the first gas of the pair) in barrers;
# alpha is the printed separation factor P_i/P_j.  ref_bracket is the paper's own citation
# number(s) as printed, kept so a reader can go to the primary source; this page does not.
# Row order is the printed row order, which is NOT always monotone in permeability
# (Table 1 prints PIM-1 at 370 before PIM-7 at 190; Table 11 prints 430 before 405).
# Transcribed from 300 dpi renders of the born-digital pages, cropped and read at digit scale.
table,gas_pair,polymer,P_fast_barrer,alpha,ref_bracket
1,O2/N2,Polyimide (BPDA-ODA),0.079,19.8,18
1,O2/N2,Polyimide (BTDA-ODA),0.170,14.2,18
1,O2/N2,Polyetherimide (3d: cyclohexyl substituted indan unit in main chain),0.90,11.2,"19,20"
1,O2/N2,Polypyrrolone (6FDA/PMDA (25/75)-TAB),1.01,10.3,21
1,O2/N2,Sulfonated brominated PPO (60% DBr; 32.9% DSul.),12.6,7.4,22
1,O2/N2,Sulfonated brominated PPO (60% DBr; 20.2% DSul.),14.0,7.0,22
1,O2/N2,Polyimide (BADBSBF-BTDA),18.0,9.0,23
1,O2/N2,Poly[1-phenyl-2-p-(trimethylsilyl)phenylacetylene],1550,2.98,24
1,O2/N2,PIM-1,370,4.0,25
1,O2/N2,PIM-7,190,4.5,25
2,CO2/CH4,PVSH doped polyaniline,0.029,2200,26
2,CO2/CH4,Polypyrrole 6FDA/PMDA (25/75)-TAB,3.13,140,21
2,CO2/CH4,Polyimide TADATO/DSDA (1/1)-DDBT,45,60,27
2,CO2/CH4,Poly(diphenyl acetylene) 3a,110,47.8,28
2,CO2/CH4,Polyimide 6FDA-TMPDA/DAT (1:1),130.2,38.9,29
2,CO2/CH4,Polyimide 6FDA-TMPDA/DAT (3:1),187.6,33.9,29
2,CO2/CH4,Polyimide PI-5,190,33.9,30
2,CO2/CH4,Poly(diphenyl acetylene) 3e,290,31.5,28
2,CO2/CH4,Poly(diphenyl acetylene) 3f,330,27.5,28
2,CO2/CH4,Polyimide 6FDA-TMPDA,555.7,22.7,29
2,CO2/CH4,Polyimide 6FDA-durene,677.8,20.18,31
2,CO2/CH4,6FDA-based polyimide (8),958,24,32
2,CO2/CH4,PIM-7,1100,17.7,25
2,CO2/CH4,PIM-1,2300,18.4,25
2,CO2/CH4,PTMSP,19000,4.42,33
2,CO2/CH4,PTMSP,29000,4.46,33
3,H2/N2,Polybenzoxazinone imide (PBOI-2-Cu+),3.7,960,34
3,H2/N2,"Polyimide (1,1-6FDA-DIA)",31.4,165,35
3,H2/N2,Polyimide (NTDA-BAPHFDS(H)),52,141,36
3,H2/N2,Poly(amide-imide) (3a),72,103,37
3,H2/N2,PIM-7,860,20.5,25
3,H2/N2,PIM-1,1300,14.1,25
3,H2/N2,Poly(trimethylsilylpropyne-co-phenylpropyne) (95/5),20400,2.5,38
3,H2/N2,Poly(trimethylsilylpropyne),23200,2.5,38
4,H2/CH4,Sulfonated polyimide (DAPHFDS(H)),52,325,36
4,H2/CH4,Polyimide (6FDA-mMPD),106,121,39
4,H2/CH4,Polyimide (6FDA-DDBT),156,78.8,27
4,H2/CH4,Hyflon AD60X,187,61.7,40
4,H2/CH4,Teflon AF-2400,3300,5.5,41
4,H2/CH4,Poly(trimethylsilylpropyne),17000,1.13,42
4,H2/CH4,Poly(trimethylsilylpropyne-co-phenylpropyne) (95/5),20400,0.953,38
4,H2/CH4,Poly(trimethylsilylpropyne),23200,0.995,38
5,He/N2,Polypyrrolone (6FDA/PMDA (10/90)-TAB),22.5,622,21
5,He/N2,Polypyrrolone (6FDA/PMDA (25/75)-TAB),35.7,364,21
5,He/N2,Polypyrrolone (6FDA-TAB),166,64.4,21
5,He/N2,Polyimide (6FDA-6FpDA:DABA (2:1)),142,65,"43,44"
5,He/N2,Polyarylate (TMHFBPA I/T),182,64.8,45
5,He/N2,Hyflon AD,405,48.8,"40,46"
5,He/N2,Hyflon AD60X,476,50.3,40
5,He/N2,Poly(trimethylsilylpropyne),6500,0.97,47
5,He/N2,Poly(trimethylsilylpropyne),6500,1.03,42
6,He/CH4,Polypyrrolone (6FDA/PMDA (10/90)-TAB),22.5,3041,21
6,He/CH4,Polypyrrolone (6FDA/PMDA (25/75)-TAB),35.7,1594,21
6,He/CH4,Polypyrrolone (6FDA-TAB),166,184,21
6,He/CH4,Hyflon AD60X (solution cast),369,32.9,46
6,He/CH4,Hyflon AD60X (melt pressed),405,167,40
6,He/CH4,Hyflon AD60X (melt pressed),405,169,46
6,He/CH4,Hyflon AD60X (solution cast),455,136,40
6,He/CH4,Hyflon AD60X (solution cast),476,157,40
6,He/CH4,Teflon AF-2400,3600,6.0,41
6,He/CH4,Poly(trimethylsilylpropyne),6500,0.406,47
6,He/CH4,Poly(trimethylsilylpropyne),6500,0.433,42
7,He/H2,Viton E60 fluoroelastomer,30.5,2.87,48
7,He/H2,Nafion 117,40.9,4.39,49
7,He/H2,Viton GF fluoroelastomer,43.9,2.01,48
7,He/H2,Cytop,170,2.8,50
7,He/H2,Fluorinated polynorbornene,185,1.52,51
7,He/H2,Hyflon AD60X (solution cast),369,2.34,46
7,He/H2,Hyflon AD60,390,2.1,50
7,He/H2,Hyflon AD60X (melt pressed),405,2.89,"40,46"
7,He/H2,Hyflon AD80,430,2.0,50
7,He/H2,Hyflon AD60X (solution cast),455,2.45,40
7,He/H2,Hyflon AD60X (solution cast),476,2.55,40
7,He/H2,Teflon AF-2400,3600,1.06,41
8,CO2/N2,Poly[bis(2-(2-methoxyethoxy)ethoxy)phosphazene],250,62.5,54
8,CO2/N2,PIM-7,1100,26.2,25
8,CO2/N2,Modified poly(dimethylsiloxane),2000,34.2,55
8,CO2/N2,PIM-1,2300,25,25
8,CO2/N2,Poly(trimethylgermylpropyne),14000,14,33
8,CO2/N2,Poly(trimethylsilylpropyne),29000,10.7,33
9,N2/CH4,Polyimide (6FDA-mPDA),0.31,4.43,57
9,N2/CH4,Poly(pyrrolone)(6FDA-TAB),2.58,2.87,"21,58"
9,N2/CH4,Cytop,5,2.5,50
9,N2/CH4,Hyflon AD60X (melt pressed),8.3,3.46,"40,46"
9,N2/CH4,Hyflon AD60X (solution cast),9.46,3.12,40
9,N2/CH4,Hyflon AD60X (solution cast),11.1,3.31,40
9,N2/CH4,Hyflon AD,20,2.0,50
9,N2/CH4,Hyflon AD60X (solution cast),20.5,1.83,46
9,N2/CH4,Hyflon AD80X,24,2.0,50
9,N2/CH4,Teflon AF-1600,110,1.38,50
9,N2/CH4,Poly(trimethylsilylpropyne-co-phenylpropyne) (60/40),153,1.9,38
9,N2/CH4,Teflon AF 2400,480,1.23,"50,59"
9,N2/CH4,Teflon AF 2400 (melt pressed),490,1.44,59
9,N2/CH4,Teflon AF 2400,790,1.30,41
9,N2/CH4,Poly(trimethylsilylpropyne),6300,0.42,42
9,N2/CH4,Poly(trimethylsilylpropyne),6600,0.44,60
9,N2/CH4,Poly(trimethylsilylpropyne-co-phenylpropyne) (95/5),8300,0.388,38
9,N2/CH4,Poly(trimethylsilylpropyne),9350,0.401,38
10,H2/CO2,Liquid crystalline polyester (HBA/HNA 30/70),0.0545,100.9,61
10,H2/CO2,Polyaniline (redoped),1.753,23.1,62
10,H2/CO2,"Polyimide(1,1-6FDA-DIA)",31.4,8.05,35
10,H2/CO2,Poly(trimethylsilylpropyne),13900,0.495,63
10,H2/CO2,Poly(trimethylsilylpropyne),16200,0.489,47
10,H2/CO2,Poly(trimethylsilylpropyne-co-phenylpropyne) (95/5),20400,0.538,38
10,H2/CO2,Poly(trimethylsilylpropyne),23300,0.53,38
11,He/CO2,Polypyrrolone (6FDA/PMDA (10/90)-TAB),22.5,20.3,21
11,He/CO2,Polyimide (6FDA-durene) (crosslinked),34.4,16.1,64
11,He/CO2,Cytop,170,4.86,50
11,He/CO2,Hyflon AD (solution cast),369,2.54,46
11,He/CO2,Hyflon AD60,390,3.0,50
11,He/CO2,Hyflon AD80,430,2.87,50
11,He/CO2,Hyflon AD60X (melt pressed),405,6.43,"40,46"
11,He/CO2,Hyflon AD60X (solution cast),455,5.67,40
11,He/CO2,Hyflon AD60X (solution cast),476,6.18,40
11,He/CO2,Teflon AF-2400,3650,0.923,41
11,He/CO2,Poly(trimethylsilylpropyne),5250,0.187,63
11,He/CO2,Poly(trimethylsilylpropyne),6500,0.196,47
