# Robeson, L. M., "The upper bound revisited", J. Membr. Sci. 320(1-2) 390-400 (2008).
# Every quantitative or classifying PROSE claim this page tests, quoted verbatim from the
# born-digital text layer and checked against a 300 dpi render of the same sentence.
# `shift_class` is this page's one-word encoding of the Conclusions sentence that names the pair;
# it is a transcription of the paper's own wording, not a judgement made here.
# `quote` is verbatim including the paper's own typography; [sic] marks are added in the notebook
# prose, never inside the quoted string.
claim_id,gas_pair,shift_class,page,quote
abstract_frontfactor,,,390,"The shift observed is primarily due to a change in the front factor, k, whereas the slope of the resultant upper bound relationship remains similar to the prior data correlations."
abstract_minorshifts,,,390,"In spite of the intense investigation resulting in a much larger dataset than the original correlation, the upper bound position has had only minor shifts in position for many gas pairs."
abstract_newpairs,,,390,"Two additional upper bound relationships are included in this analysis; CO2/N2 and N2/CH4."
byeye,,,391,"It is noted that the ""upper bound"" line is determined empirically (""by eye"") as in the original reference [1] with sufficient data to establish a realistic bound over several decades of permeability."
concl_modest,O2/N2,modest,399,"The results show only modest shifts from the 1991 upper bound correlation for O2/N2, H2/N2, H2/CH4, CO2/CH4 and He/N2."
concl_modest,H2/N2,modest,399,"The results show only modest shifts from the 1991 upper bound correlation for O2/N2, H2/N2, H2/CH4, CO2/CH4 and He/N2."
concl_modest,H2/CH4,modest,399,"The results show only modest shifts from the 1991 upper bound correlation for O2/N2, H2/N2, H2/CH4, CO2/CH4 and He/N2."
concl_modest,CO2/CH4,modest,399,"The results show only modest shifts from the 1991 upper bound correlation for O2/N2, H2/N2, H2/CH4, CO2/CH4 and He/N2."
concl_modest,He/N2,modest,399,"The results show only modest shifts from the 1991 upper bound correlation for O2/N2, H2/N2, H2/CH4, CO2/CH4 and He/N2."
concl_minor,H2/CO2,minor,399,"From the 1994 correlations of H2/CO2 and He/CO2, H2/CO2 shows only a minor change."
concl_significant,He/CH4,significant,399,"Significant shifts in the position of the upper bound line were observed for He/CH4, He/CO2 and He/H2."
concl_significant,He/CO2,significant,399,"Significant shifts in the position of the upper bound line were observed for He/CH4, He/CO2 and He/H2."
concl_significant,He/H2,significant,399,"Significant shifts in the position of the upper bound line were observed for He/CH4, He/CO2 and He/H2."
concl_repeat_defect,,,399,"The shifts in the upper bound for He/CO2, He/CO2 and He/H2 were due to aliphatic fluorocarbon polymers for which very limited data existed in 1991."
o2n2_questioned,O2/N2,,392,"The position of the one data point above the present upper bound (P(O2) = 18 barrers; α(O2/N2) = 9.0) is questioned as only one significant figure was noted for nitrogen permeability."
n2ch4_repair,N2/CH4,,395,"The CH4 permeability was listed as 80.2 barrers where it would be more realistic to be 180.2 barrers to be consistent with the copolymer data trend."
heh2_slope,He/H2,,395,"While the front factor has moved significantly, the slope does not appear to have changed although sufficient data does not exist to clearly confirm that observation."
h2co2_slope,H2/CO2,,396,"A limited shift in the upper bound relationship is noted, primarily a slight slope change resulting from a number of poly(trimethylsilylpropyne) data points at the higher permeability end of the relationship."
h2co2_skew,H2/CO2,,396,"The limited number of data points at the lower permeability area of the dataset may have skewed the slope versus the original correlation [2]."
hech4_frontfactor,He/CH4,,394,"A reasonable shift in the front factor has occurred with virtually no change in slope with the present data compared with the earlier upper bound data."
hen2_minor,He/N2,,393,"The upper bound shift since 1991 is very minor in spite of the much larger dataset available presently."
concl_slope,,,399,"The slope of the upper bound relationship remained reasonably constant even when shifts in the position were observed as predicted in the initial upper bound reference."
discussion_frontfactor,,,398,"In several cases, the ""front factor"" k has shown more than just minor increases."
discussion_ptmsp,,,397,"the permeability values are in reasonable proximity of each other as noted for PTMSP where variation in permeability range from 6500 barrers for He to 33,000 barrers for CO2 [47]"
