# Robeson, L. M., "The upper bound revisited", J. Membr. Sci. 320(1-2) 390-400 (2008), Table 12,
# p. 397: "Tabulation of the values of the front factor k and the upper bound slope n".
# Upper bound: P_i = k * alpha_ij^n, with P_i the fast-gas permeability in barrers and
# alpha_ij = P_i/P_j the (dimensionless) separation factor.
# Transcribed from a 300 dpi render of the born-digital page, cropped and read at digit scale.
# "NA" in the printed table is recorded here as an empty numeric cell with as_printed = "NA".
# k_as_printed / n_as_printed keep the printed glyphs INCLUDING the thousands commas and the
# trailing-zero pattern, because the number of printed digits sets the rounding band used on the page.
dataset,gas_pair,k_barrer,n,k_as_printed,n_as_printed
prior,O2/N2,389224,-5.800,"389,224",-5.800
prior,CO2/CH4,1073700,-2.6264,"1,073,700",-2.6264
prior,H2/N2,52918,-1.5275,"52,918",-1.5275
prior,H2/CH4,18500,-1.2112,"18,500",-1.2112
prior,He/N2,12500,-1.0242,"12,500",-1.0242
prior,He/CH4,5002,-0.7857,"5,002",-0.7857
prior,He/H2,960,-4.9535,960,-4.9535
prior,CO2/N2,,,NA,NA
prior,N2/CH4,,,NA,NA
prior,H2/CO2,1200,-1.9363,1200,-1.9363
prior,He/CO2,705,-1.220,705,-1.220
prior,H2/O2,35760,-2.277,"35,760",-2.277
prior,He/O2,4600,-1.295,"4,600",-1.295
present,O2/N2,1396000,-5.666,"1,396,000",-5.666
present,CO2/CH4,5369140,-2.636,"5,369,140",-2.636
present,H2/N2,97650,-1.4841,"97,650",-1.4841
present,H2/CH4,27200,-1.107,"27,200",-1.107
present,He/N2,19890,-1.017,"19,890",-1.017
present,He/CH4,19800,-0.809,"19,800",-0.809
present,He/H2,59910,-4.864,"59,910",-4.864
present,CO2/N2,30967000,-2.888,"30,967,000",-2.888
present,N2/CH4,2570,-4.507,"2,570",-4.507
present,H2/CO2,4515,-2.302,"4,515",-2.302
present,He/CO2,3760,-1.192,"3,760",-1.192
present,H2/O2,,,NA,NA
present,He/O2,,,NA,NA
