# Robeson, L. M., "The upper bound revisited", J. Membr. Sci. 320(1-2) 390-400 (2008),
# Tables 13a and 13b, p. 398.
# 13a: "Transition permeability to Knudsen diffusion using critical temperature to calculate ks"
# 13b: "Transition permeability to Knudsen diffusion using Lennard-Jones temperature to calculate ks"
# Table footnote (printed once, under 13b): "Pi for Tables 13a and b represents the permeability
# on the upper bound curve where the solution-diffusion Di/Dj value is equal to that predicted
# for Knudsen diffusion."
# Columns as printed: ks = Si/Sj (solubility selectivity), sqrt_M_ratio = (Mj/Mi)^(1/2),
# ks_D_ratio = ks(Di/Dj) = ks*(Mj/Mi)^(1/2), P_transition_barrer = Pi in barrers.
# `dataset` marks the two rows in each table that the paper labels "(prior data)" and that
# therefore use the PRIOR (k, n) of Table 12; every other row uses the PRESENT (k, n).
# Row order is the printed row order. Transcribed from a 300 dpi render, read at digit scale.
table,gas_pair,dataset,ks,sqrt_M_ratio,ks_D_ratio,P_transition_barrer
13a,O2/N2,present,1.575,0.9354,1.473,156500
13a,H2/N2,present,0.225,3.742,0.842,126130
13a,H2/CH4,present,0.0803,2.828,0.227,140400
13a,He/N2,present,0.144,2.646,0.381,53070
13a,He/CH4,present,0.0515,2.0,0.103,124620
13a,He/H2,present,0.641,0.707,0.453,2817000
13a,He/H2,prior,0.641,0.707,0.453,48510
13a,CO2/CH4,present,6.151,0.603,3.709,169520
13a,N2/CH4,present,0.357,0.756,0.270,939300
13a,CO2/N2,present,17.24,0.7977,13.75,15980
13a,He/CO2,present,0.00837,3.3166,0.02776,269440
13a,H2/CO2,present,0.01306,4.6904,0.06123,2799000
13a,H2/CO2,prior,0.01306,4.6904,0.06123,267900
13b,O2/N2,present,2.289,0.9354,2.1409,18700
13b,H2/N2,present,0.7765,3.742,2.9057,20050
13b,H2/CH4,present,0.129,2.828,0.365,83000
13b,He/N2,present,0.2470,2.646,0.6535,30655
13b,He/CH4,present,0.0411,2.0,0.0822,149470
13b,He/H2,present,0.318,0.707,0.2249,85050000
13b,He/H2,prior,0.318,0.707,0.2249,1556600
13b,CO2/CH4,present,2.881,0.603,1.737,1252000
13b,N2/CH4,present,0.166,0.756,0.1257,29460000
13b,CO2/N2,present,17.32,0.7977,13.82,15750
13b,He/CO2,present,0.01426,3.3166,0.0473,142800
13b,H2/CO2,present,0.0448,4.6904,0.2102,163600
13b,H2/CO2,prior,0.0448,4.6904,0.2102,24590
