source_section,system,temperature_K,component,symbol,value,units,printed_as,note
Section 3.3,FAU,300,CH4,Theta_sat,10.0,molecules per supercage,10,"saturation capacity taken by Krishna [64] to reproduce Sanborn & Snurr's MD dln f/dln theta"
Section 3.3,FAU,300,CF4,Theta_sat,6.1,molecules per supercage,6.1,
Section 3.3,FAU,300,CH4,D_MS_0,35e-9,m^2 s^-1,35x10-9,"M-S diffusivity taken independent of loading, eq. (17)"
Section 3.3,FAU,300,CF4,D_MS_0,20e-9,m^2 s^-1,20x10-9,"zero-loading value; the loading dependence is eq. (19)"
Section 3.4,MFI,200,CH4,Theta_sat,22.0,molecules per unit cell,22,"printed in the Fig. 21 caption as ""Theta_1,sat = 22"""
Section 3.4,MFI,200,CF4,Theta_sat,13.0,molecules per unit cell,13,"PRINTED DEFECT: the Fig. 21 caption prints ""Theta_1,sat = 22 and Theta_1,sat = 13"" - the second subscript must be 2. The running text of Section 3.4 gives the same pair as Theta_1,sat = 22 and Theta_2,sat = 13, so the caption is the defective copy and the text supplies the reading. Not a repair by inference: both values are printed correctly elsewhere."
Section 3.4,MFI,200,CH4,D_MS_0,60e-10,m^2 s^-1,60x10-10,
Section 3.4,MFI,200,CF4,D_MS_0,25e-10,m^2 s^-1,25x10-10,
Section 3.4,MFI,200,mixture,Theta_total,12.0,molecules per unit cell,12,total loading held fixed in the Snurr & Karger MD runs
Section 4.3,MFI,362,nC6,D_ratio_to_3MP,5.0,-,5,"the review takes the zero-loading M-S diffusivity of nC6 as five times that of 3MP, after Cavalcante & Ruthven"
Section 4.3,MFI,362,3MP,D_ratio_to_22DMB,2.0,-,2,"Fig. 30 caption: D_3MP = 2 D_2,2DMB"
Section 4.3,MFI,362,ternary,D_ratio_nC6_to_22DMB,10.0,-,10,"Fig. 31 caption: D_nC6 = D_3MP = 10 D_2,2DMB"
Section 4.3,MFI,362,3MP,D_over_delta2,0.125,s^-1,0.125,"Figs. 29 and 30 captions: the membrane thickness is chosen such that D_3MP/delta^2 = 0.125 s^-1. Fixes the time scale of the hexane permeation but not delta itself, because D_3MP is never printed."
Section 4.3,MFI,362,mixture,p_i0,33000.0,Pa,33 kPa,"the upstream partial pressure of each component in Figs. 29-31; for the 50-50 nC6/3MP case the running text gives the same condition as a total pressure of 66 kPa"
