result_id,where,quantity,value,units,printed_as,description
mix_N_C1_finite,Section 4.2,N_C1,0.12,mmol m^-2 s^-1,0.12,steady-state C1 flux in the 95-5 C1/nC4 mixture across MFI at 300 K with finite exchange coefficients from eq. (43)
mix_N_nC4_finite,Section 4.2,N_nC4,3.09,mmol m^-2 s^-1,3.09,steady-state nC4 flux for the same case
mix_SP_955_finite,Section 4.2,S_P,487.0,-,487,nC4/C1 permeation selectivity of the 95-5 mixture with finite exchange coefficients
mix_peak_C1_finite,Section 4.2,N_C1_peak,0.44,mmol m^-2 s^-1,0.44,maximum in the transient C1 flux for the same case
mix_peak_t_finite,Section 4.2,t_peak,0.73,s,0.73,time at which that maximum occurs
mix_peak_C1_inf,Section 4.2,N_C1_peak,17.2,mmol m^-2 s^-1,17.2,"maximum in the transient C1 flux for the 95-5 mixture with the exchange coefficients taken infinite, eq. (47)"
mix_N_C1_inf,Section 4.2,N_C1,4.72,mmol m^-2 s^-1,4.72,steady-state C1 flux for that infinite-exchange case
mix_N_nC4_inf,Section 4.2,N_nC4,3.06,mmol m^-2 s^-1,3.06,steady-state nC4 flux for that infinite-exchange case
mix_SP_955_inf,Section 4.2,S_P,12.3,-,12.3,nC4/C1 permeation selectivity of the 95-5 mixture with infinite exchange coefficients
mix_SP_5050_finite,Section 4.2,S_P,202.0,-,202,nC4/C1 permeation selectivity of the 50-50 mixture with finite exchange coefficients
mix_SP_5050_inf,Section 4.2,S_P,5.4,-,5.4,nC4/C1 permeation selectivity of the 50-50 mixture with infinite exchange coefficients
mix_SP_langmuir,Section 4.2,S_P,800.0,-,800,"the S_P the review states the multicomponent Langmuir isotherm would give with the saturation capacities of C1 and nC4 set equal - stated to be independent of upstream composition"
sorp_S_henry,Section 4.2,S,2200.0,-,2200,"sorption selectivity of nC4 over C1 in the 95-5 mixture, stated to be constant for mixture loadings below 8 and to equal the value calculated from the Henry coefficients"
sorp_Theta_plateau,Section 4.2,Theta_mix,8.0,molecules per unit cell,8,the mixture loading above which the review states the sorption selectivity falls away from that plateau
hex_SP_nC6_3MP,Section 4.3,S_P,43.2,-,43.2,"steady-state nC6/3MP permeation selectivity of the equimolar mixture across MFI at 362 K, upstream partial pressures 33 kPa each"
hex_P_theta4,Section 4.3,P_total,1000.0,Pa,1 kPa,"the total upstream pressure the review states corresponds to a mixture loading in excess of 4 molecules per unit cell at 362 K"
hex_P_SP10,Section 4.3,P_total,2000.0,Pa,2 kPa,the upstream pressure above which the review states nC6/3MP selectivities in excess of 10 are obtained
hex_SP_3MP_DMB_binary,Section 4.3,S_P,7.0,-,7,"3MP/2,2DMB permeation selectivity of the binary mixture at 30 kPa upstream partial pressures; the review reads this off its own Fig. 30(c)"
hex_SP_3MP_DMB_ternary,Section 4.3,S_P,30.0,-,in excess of 30,"3MP/2,2DMB permeation selectivity when the same pair permeates together with nC6 at 30 kPa each; a LOWER BOUND read off Fig. 31(c), not an equality"
