# Every constant and stated numerical result read off the 300 ppi page bitmaps of
# Heck, Wei & Katzer, AIChE J 22(3) 477-484 (1976). Nothing here comes from the PDF
# text layer and no curve was digitised. `where` gives the journal page and location.
quantity,value,unit,where,note
k_r0,4.14e8,kg mole/m2 s,"p. 478 col. 1, displayed under eq. (7)",Voltz et al. (1973) kinetics as used by Heck et al.
k_a0,65.5,dimensionless,"p. 478 col. 1, displayed under eq. (7)",
Er_over_R,12600,K,"p. 478 col. 1, displayed under eq. (7)",printed with a thousands comma
Ea_over_R,-961,K,"p. 478 col. 1, displayed under eq. (7)",negative: adsorption
CG_CO_inlet,0.04,mole fraction,"Figs. 1-5 annotation boxes; p. 478 col. 2 running text",
CG_O2_inlet,0.04,mole fraction,"Figs. 1-5 annotation boxes",
TG_inlet_fig1,316,degC,"p. 478 col. 2 running text and Fig. 1 annotation",
Cw_at_rate_maximum,0.003,mole fraction,"p. 478 col. 2 running text",stated to one significant figure
delta_H,336.9,MJ/kg mole,"Fig. 13 annotation box, p. 482",printed as 336.9 mJ/kg-mole; MJ is required by the figure own temperature scale
channel_diameter,1.52,mm,"Fig. 3 annotation box, p. 479",
Nu_used_1D,3.608,dimensionless,"Figs. 2 and 7 annotation boxes",square-channel constant-flux value from Table 1
lightoff_window_1D_low,304,degC,"p. 479 col. 1 running text",inlet temperature of the Fig. 2 case that does not light off
lightoff_window_1D_high,343,degC,"p. 479 col. 1 running text",above this the whole tube is at the adiabatic temperature
lightoff_window_2D_low,293,degC,"p. 481 col. 2 running text (Fig. 11 case 1)",inlet temperature of the 2-D case that does not light off
lightoff_window_2D_high,343,degC,"p. 481 col. 2 running text (Fig. 11 case 3)",
lightoff_window_2D_inlet_case,349,degC,"Fig. 11 case 4 label, p. 482",light-off at the tube inlet
fig2_abscissa_end,0.20,Graetz units,"Fig. 2 abscissa tick labels, p. 479","last labelled tick of the axis the 1-D window is quoted for; labelled 0.00 to 0.20 in steps of 0.05 and the frame ends just past it. Printed characters, no curve read"
fig3_abscissa_end,0.25,Graetz units,"Figs. 3-5 abscissa tick labels, p. 479","the other three one-dimensional figures all end at 0.25; labelled 0 to 0.25 in steps of 0.05 with the frame ending on the last tick. Printed characters, no curve read"
fig11_abscissa_end,0.50,Graetz units,"Fig. 11 abscissa tick labels, p. 482","last labelled tick of the axis the 2-D window is quoted for; labelled 0 to 0.50 in steps of 0.10 and the frame ends on it. Printed characters, no curve read"
axial_step_1D,0.0005,Graetz units,"p. 479 col. 1 running text",stated as "about 0.0076 cm for a typical monolith"
axial_step_1D_metric,0.0076,cm,"p. 479 col. 1 running text",
radial_points_2D,10,count,"p. 480 col. 2 running text",
axial_step_2D,0.00025,Graetz units,"p. 480 col. 2 running text",
Qw_fig8,"-9.46+(46.0 X)**8",dimensionless,"Fig. 8 curve labels, p. 481","imposed wall flux, case 2"
Qw_fig9,"-3+(40 X)**8",dimensionless,"Fig. 9 caption, p. 481",imposed wall flux for the radial profiles
Qw_zero_stated,0.029,Graetz units,"p. 481 col. 1 running text",where the imposed wall flux changes sign
Tbar_at_X_0p25,0.0224,dimensionless,"p. 481 col. 1 running text (Fig. 10)","mean gas temperature at X* = 0.25, wall at 0, inlet at 1"
Nu_GrigullTratz_Tw,"3.655+6.874*X**-0.488*exp(-0.0572*X)",dimensionless,"p. 482 col. 1 displayed",constant wall temperature
Nu_GrigullTratz_Qw,"4.364+8.68*X**-0.506*exp(-0.041*X)",dimensionless,"p. 482 col. 1 displayed",constant wall flux
adequacy_claim_degC,2,degC,"p. 482 col. 2 running text",the 1-D/2-D difference is 'equivalent to less than a 2 deg C difference in inlet gas temperature'
compute_time_ratio,10,dimensionless,"p. 482 col. 2 and Conclusions",1-D needs 'about one-tenth the computing time'
