# Langmuir, I. (1918), J. Am. Chem. Soc. 40(9) 1361-1403, TABLES II-XI and XIII-XVII.
# Every adsorption isotherm point the paper prints, on mica and on glass.
# Transcribed 2026-08-07 off a 300 ppi NATIVE render, cropped and read at digit scale.
# THE PDF TEXT LAYER WAS NOT USED FOR ANY DIGIT. It silently altered eq. (37)'s
# exponent (10^15 -> 10^16) and half of the b column of Table X.
#
# p        pressure in BARS (dynes per sq. cm.); 1 bar here = 0.75 micron Hg, NOT 10^5 Pa.
# q_obs    cu. mm. of gas at 20 degC and 760 mm, adsorbed in the bulb.
# q_cal    the paper's own calculated column, where it prints one (blank = not printed).
# q_F      Table VII only: Freundlich's formula q_F = 8.4 p^0.417 as the paper tabulates it.
# q_cal2   Table IX only: the two-term Case II fit (a1,b1,a2,b2) the paper adds.
# bulb     A = the bulb containing the adsorbent; Aprime = the blank bulb (no adsorbent).
#          Bulb Aprime rows carry NO calculated column: they are the uncorrected blank,
#          and the paper says the mica results are "10 to 30% too high" because of them.
table,gas,adsorbent,T_K,method,bulb,p_bars,q_obs_cu_mm,q_cal_cu_mm,q_F_cu_mm,q_cal2_cu_mm
II,N2,mica,90,I,A,37.5,24.2,24.6,,
II,N2,mica,90,I,A,25.7,22.7,22.4,,
II,N2,mica,90,I,A,4.04,7.55,8.3,,
II,N2,mica,90,I,A,2.8,6.8,6.2,,
II,N2,mica,90,I,Aprime,48.5,8.8,,,
II,N2,mica,90,I,Aprime,32.3,7.8,,,
III,CH4,mica,90,I,A,19.2,65.0,65.0,,
III,CH4,mica,90,I,A,15.2,59.9,60.0,,
III,CH4,mica,90,I,A,1.6,11.7,14.2,,
III,CH4,mica,90,I,A,1.2,11.2,11.1,,
III,CH4,mica,90,I,A,0.4,4.0,4.0,,
III,CH4,mica,90,I,Aprime,44.5,17.6,,,
III,CH4,mica,90,I,Aprime,30.5,15.0,,,
III,CH4,mica,90,I,Aprime,0.8,3.7,,,
IV,CO,mica,90,I,A,24.3,53.8,,,
IV,CO,mica,90,I,A,16.8,52.3,,,
IV,CO,mica,90,I,Aprime,49.1,5.8,,,
IV,CO,mica,90,I,Aprime,32.0,5.5,,,
V,Ar,mica,90,I,A,41.5,21.8,,,
V,Ar,mica,90,I,A,28.6,19.5,,,
