# Langmuir, I. (1918), J. Am. Chem. Soc. 40(9) 1361-1403.
# Every scalar the page checks that lives in PROSE, in an EQUATION or in a TABLE
# HEADER rather than in a data column. Transcribed 2026-08-07 off a 300 ppi NATIVE
# render, cropped and read at digit scale. THE TEXT LAYER WAS NOT USED FOR ANY DIGIT:
# it renders eq. (37)'s 10^15 as 10^16, which is a factor ten in the surface coverage.
#
# journal_page  the printed page number (1361-1403), not the PDF page.
# kind          equation | prose | table_header | apparatus
key,value,unit,journal_page,kind,verbatim
R_gas,83.2e6,erg per degree,1368,equation,"R the gas constant 83.2 X 10^6 ergs per degree"
eq3_coefficient,43.75e-6,-,1368,equation,"mu = 43.75 X 10^-6 p / sqrt(MT)   (3)"
avogadro,6.06e23,molecules per gram molecule,1369,equation,"N is the Avogadro constant 6.06 X 10^23 molecules per gram mole-cule"
cu_mm_to_gram_mol,4.16e-8,gram molecules per cu mm,1389,equation,"one cu. mm. of gas at 20 and 760 mm. pressure is 4.16 X 10^-8 gram molecules"
eq37_coefficient,25.2e15,per cu mm per sq cm,1390,equation,"N0 = 25.2 X 10^15 b/s.   (37)"
eq38_coefficient,22860,-,1390,equation,"sigma = 22860 a sqrt(MT),   (38)"
mica_surface,5750,sq cm,1376,apparatus,"The total surface of the mica was 5750 sq. cm. and that of the iron 310 sq. cm."
iron_surface,310,sq cm,1376,apparatus,"and that of the iron 310 sq. cm."
glass_surface,1966,sq cm,1386,apparatus,"The total surface of the glasses used was 1966 sq. cm."
platinum_surface,312,sq cm,1393,apparatus,"a piece of pure platinum foil 15.3 X 10.2 cm ... the total surface 312 sq. cm."
platinum_foil_length,15.3,cm,1393,apparatus,"pure platinum foil 15.3 X 10.2 cm."
platinum_foil_width,10.2,cm,1393,apparatus,"pure platinum foil 15.3 X 10.2 cm."
liquid_N2_molecular_volume,35.5,cu cm per gram molecule,1391,prose,"the ""molecular volume"" of liquid nitrogen is 35.5 cu. cm."
N2_molecular_diameter,3.88e-8,cm,1391,prose,"gives for the diameter of the molecule (assumed cubical) the value 3.88 X 10^-8 cm."
monolayer_N2,0.66e15,molecules per sq cm,1391,prose,"The number per sq. cm. is therefore 0.66 X 10^15."
monolayer_CH4,0.63e15,molecules per sq cm,1391,prose,"In a similar way we obtain for methane, 0.63 X 10^15"
monolayer_CO,0.66e15,molecules per sq cm,1391,prose,"for carbon monoxide, 0.66 X 10^15"
monolayer_Ar_O2,0.77e15,molecules per sq cm,1391,prose,"for argon and oxygen, 0.77 X 10^15"
monolayer_CO2,0.61e15,molecules per sq cm,1391,prose,"and for carbon dioxide, 0.61 X 10^15."
rule_of_thumb_monolayer,1e15,molecules per sq cm,1365,prose,"There are thus about 10^15 molecules per sq. cm. in a monomolecular layer"
rule_of_thumb_cu_mm,0.04,cu mm per sq cm,1365,prose,"corresponding to 0.04 cubic millimeter of gas per sq. cm. at ordinary temperature and pressure"
freundlich_coefficient,8.4,cu mm per bar^0.417,1384,prose,"leads to the equation q_F = 8.4 p^0.417"
freundlich_exponent,0.417,-,1384,prose,"q_F = 8.4 p^0.417"
loglog_slope_low,0.684,-,1384,prose,"At the lowest pressures (3 bars) the slope of this line corresponds to an exponent 0.684"
loglog_pressure_low,3,bars,1384,prose,"At the lowest pressures (3 bars)"
loglog_slope_high,0.20,-,1384,prose,"while at the highest pressures (100 bars) the exponent decreases to 0.20"
loglog_pressure_high,100,bars,1384,prose,"while at the highest pressures (100 bars)"
mica_blank_low_pct,10,percent,1385,prose,"The results therefore obtained from bulb A are to be considered as being 10 to 30% too high."
mica_blank_high_pct,30,percent,1385,prose,"being 10 to 30% too high."
ether_fraction_low_pct,5,percent,1385,prose,"The amount of adsorption at this temperature was from 5 to 20% of that observed with the same gas at the lower temperature."
ether_fraction_high_pct,20,percent,1385,prose,"from 5 to 20% of that observed with the same gas at the lower temperature."
blank_largest_negative,-0.7,cu mm,1389,prose,"the largest negative value being -0.7 cu. mm."
pt_CO_saturated,6.9,cu mm,1398,prose,"platinum thoroughly saturated with carbon monoxide has adsorbed on it about 6.9 cu. mm."
pt_CO_saturated_N0,0.56e15,molecules per sq cm,1398,prose,"corresponding to N0 = 0.56 X 10^15"
pt_O2_360C,5.9,cu mm,1399,prose,"The amount of oxygen adsorbed at 360, namely, 5.9 cu. mm."
pt_O2_360C_N0,0.48e15,molecules per sq cm,1399,prose,"It corresponds to N0 = 0.48 X 10^15."
