# van Deemter, Zuiderweg & Klinkenberg (1956), Chem. Eng. Sci. 5(6) 271-289.
# Every scalar the paper prints that this page uses or tests. Read on 2x digit-scale
# crops of 300 ppi renders; the file's own text layer was used for NOTHING numeric
# (it prints the journal volume as 6 where the page prints 5).
# kind: input = the page feeds it in;  result = the paper states it and the page recomputes it.
quantity,value,unit,page,kind,as_printed,note
glc_column_length,1.80,m,283,input,1 80 m,"both gas-liquid columns"
glc_column_id,6,mm,283,input,6 mm,
celite_dp,30,um,283,input,about 30 mu,"average particle diameter, Celite"
sterchamol_dp,240,um,283,input,dp approx 240 mu,"50-80 mesh ground Sterchamol; Table 4 adds (180-300 mu)"
oil_molecular_weight,312,-,283,input,312,"lubricating oil, liquid phase"
oil_viscosity,30,cS,283,input,30 cS at 20 C,
oil_to_carrier_weight_ratio,0.3,-,283,input,0 3,
feed_n_butane_fraction,90,pct,283,input,90%,"eluted with N2 at 30 C, near atmospheric"
feed_iso_butane_fraction,10,pct,283,input,10%,
eq54_B_n_butane,9,mm2/s,286,input,9/u,"H.E.T.P. in mm, u in mm/sec"
eq54_A_n_butane,0.3,mm,286,input,0.3,
eq54_C_n_butane,0.05,s,286,input,0.05 u,
eq54_B_iso_butane,8,mm2/s,286,input,8/u,
eq54_A_iso_butane,0.8,mm,286,input,0 8,
eq54_C_iso_butane,0.08,s,286,input,0.08 u,
eq55_B_sterchamol,7.5,mm2/s,286,input,7.5/u,"eq (55); NO constant term is printed"
eq55_C_sterchamol,0.05,s,286,input,0.05 u,
KFI_over_FII_n_butane,0.019,-,286,input,0 019,
KFI_over_FII_iso_butane,0.028,-,286,input,0.028,
KFI_over_FII_sterchamol,0.026,-,287,input,0 026,
D_II_liquid_film,3.0e-11,m2/s,286,input,0.3 x 10^-10 m2/sec,"estimated from the oil viscosity"
D_I_gilliland,9.0e-6,m2/s,286,input,9 x 10^-6 m2/sec,"from the formula of GILLILAND [22]"
gamma_lower,0.5,-,286,input,gamma lies between 0 5 and 1,"labyrinth factor"
gamma_upper,1.0,-,286,input,gamma lies between 0 5 and 1,
slope_ratio_predicted,1.5,-,286,result,about 1.5,"ratio of the straight-part slopes of Fig. 11 per eq (53)"
slope_ratio_from_eq54,1.6,-,286,result,1.6,"the same ratio as read off eq (54)"
d_f_celite,10,um,286,result,d_f approx 10 mu,"found from BOTH Celite curves"
d_f_sterchamol,9,um,287,result,d_f = 9 mu,
two_gamma_D_I,8.0e-6,m2/s,286,result,8 x 10^-6 m2/sec,"from comparing (54) with (53)"
two_lambda_dp,0.5,mm,286,result,0.5 mm,"whence lambda approx 8"
lambda_celite,8,-,286,result,lambda approx 8,
D_II_over_100_D_I,3.3e-8,-,287,result,3 3 x 10^-8,"the coefficient of eq (56)"
ratio56_celite,3.0e-7,-,287,result,3 x 10^-7,
ratio56_sterchamol,2.5e-5,-,287,result,2 5 x 10^-5,
df_over_dp_equal_resistance,1.0e-4,-,287,result,about 0 0001,"film thickness at which the two resistances are equal"
sterchamol_hetp_at_17,1.2,mm,286,result,about 1 2 mm,"footnote; Sterchamol at ~17 mm/sec"
sterchamol_hetp_at_17_other_packing,2.8,mm,286,result,2 8 mm,"footnote; the first-section Sterchamol column at the same velocity"
F_I_ion_exclusion,0.4,-,282,input,F_I = F_II = 0 4,"Dowex 50-X8 / ethylene glycol in water"
F_II_ion_exclusion,0.4,-,282,input,F_I = F_II = 0 4,
K_ion_exclusion,1.3,-,282,input,K = 1.3,
D_II_ion_exclusion,1.3e-10,m2/s,282,result,1 3 x 10^-10 m2/sec.,"from the slope of the straight line in Fig. 9"
lambda_200_400,8,-,282,result,8 for 200-400 mesh,
lambda_50_100,3,-,282,result,3 for 50-100 mesh,
lambda_20_40,0,-,282,result,practically zero for 20-40 mesh,
nv_ion_exclusion,70,ml,280,input,70 ml,"effective column volume, Table 2 footnote"
n_fig8_height,240,-,280,result,240,"Fig. 8 height curve"
n_fig8_width,277,-,280,result,277,"Fig. 8 width curve"
delta_S0_glc,165,ml,278,input,~ 165 ml,"extrapolation of the Delta values to zero feed volume"
nv_glc,1055,ml,278,result,~ 1055 ml,"via eq (26)"
n_glc,650,-,278,result,650,"via eq (24); the *calc column of Table 1"
glc_temperature,0,degC,278,input,0 C,"Table 1 experiments"
glc_exit_pressure,760,mmHg,278,input,760 mm exit pressure,
glc_pressure_drop,52,mmHg,278,input,52 mm Hg,
sterchamol_table1_dp_lo,75,um,278,input,~ 75 - 300 mu,"the Table 1 column, a DIFFERENT packing from Table 4's"
sterchamol_table1_dp_hi,300,um,278,input,~ 75 - 300 mu,
oil_to_carrier_table1,0.25,-,278,input,0 25,"weight ratio, the Table 1 column"
