# van Deemter, Zuiderweg & Klinkenberg (1956), Chem. Eng. Sci. 5(6) 271-289, Table 1, p. 277.
# "Experimental data on width and height of elution curve for gas-liquid partition chromatography."
# Mid-dot decimal separators read on 2x digit-scale crops of a 300 ppi render. em-dash -> empty cell.
feed_volume_ml,butane_pct_in_feed,width_delta_ml,final_retention_volume_ml,cmax_exp,cmax_calc
32,1.0,163,1100,0.27,0.30
62,1.0,181,1100,0.53,0.54
92,1.0,202,1110,0.72,0.73
180,1.0,280,1100,1.0,0.97
269,1.0,370,1100,1.0,1.00
32,3.0,172,1110,0.29,0.30
62,3.0,184,1110,0.52,0.54
92,3.0,207,1110,0.70,0.73
122,3.0,228,1110,0.82,0.86
180,3.0,290,1110,1.0,0.97
240,3.0,350,1110,1.0,1.00
600,3.0,700,1110,1.0,
32,4.5,172,1120,,0.30
92,4.5,204,1110,0.67,0.73
151,4.5,258,1110,0.89,0.93
210,4.5,320,1110,1.0,0.99
300,4.5,354,1100,1.0,1.00
600,4.5,700,1110,1.0,1.00
1,100,171,1120,,
2.1,100,174,1120,,
3.6,100,184,1110,,
6.4,100,192,1110,,
6.9,100,195,1120,,
10.0,100,205,1120,,
