# van Deemter, Zuiderweg & Klinkenberg (1956), Chem. Eng. Sci. 5(6) 271-289, Table 2, p. 280.
# "Data on ion exclusion of SIMPSON and WHEATON."  Footnote: "The effective column volume nv is 70 ml".
# ORIGIN NOT CONSULTED: Simpson & Wheaton, Chem. Eng. Prog. (ref. [14] of the 1956 paper).
feed_volume_ml,particle_mesh,superficial_velocity_mm_s,width_at_base_ml,max_height_frac_c0
30,50-100,0.091,42,1.00
20,50-100,0.091,32,0.94
10,50-100,0.091,21,0.72
5,50-100,0.091,17,0.44
2,50-100,0.091,16,0.20
5,200-400,0.091,10,0.62
5,50-70,0.091,16,0.45
5,30-40,0.091,23,0.29
5,16-20,0.091,48,0.20
5,50-100,0.046,14,0.52
5,50-100,0.182,20,0.37
5,50-100,0.365,23,0.31
5,50-100,0.73,30,0.25
