# van Deemter, Zuiderweg & Klinkenberg (1956), Chem. Eng. Sci. 5(6) 271-289, Table 3, p. 281.
# "H.E.T P. values derived from SIMPSON and WHEATON's data."  Every cell is a printed RANGE:
# the two independent determinations (from the height of the elution curve, and from its width).
# block: "particle" = the varying-particle-size series, "flow" = the varying-flow-rate series.
# The 50-100 mesh / 0.091 mm s-1 row is printed TWICE, once in each block; both copies are kept.
particle_mesh,superficial_velocity_mm_s,n_plates_lo,n_plates_hi,hetp_lo_mm,hetp_hi_mm,h_over_dp_lo,h_over_dp_hi,block
200-400,0.091,600,1000,0.56,0.93,11,18,particle
50-100,0.091,240,277,2.0,2.3,9.3,10.6,particle
50-70,0.091,280,305,1.8,2.0,7.3,8.0,particle
30-40,0.091,110,155,3.6,5.1,7.2,10.2,particle
16-20,0.091,35,49,11,16,11,16,particle
50-100,0.046,385,463,1.2,1.5,5.5,6.6,flow
50-100,0.091,240,277,2.0,2.3,9.3,10.6,flow
50-100,0.182,177,210,2.7,3.2,13,14,flow
50-100,0.365,125,156,3.6,4.5,16,20,flow
50-100,0.73,78,89,6.3,7.2,29,33,flow
