# van Deemter, Zuiderweg & Klinkenberg (1956), Chem. Eng. Sci. 5(6) 271-289, Table 4, p. 286.
# "Experimental data on H.E.T.P. in gas-liquid chromatographic colums." [sic: "colums"]
# Both columns 1.80 m long, 6 mm i.d. (p. 283). Celite ~30 um; Sterchamol 240 um (180-300 um).
# The iso-butane column is blank for the Sterchamol block in the printed table.
solid_carrier,superficial_velocity_mm_s,hetp_n_butane_mm,hetp_iso_butane_mm
celite,1.7,6.0,5.2
celite,2.0,4.6,5.1
celite,3.4,2.7,3.1
celite,3.5,2.7,3.3
celite,4.8,2.3,2.4
celite,5.0,2.3,2.7
celite,15,1.8,2.6
celite,15,2.0,2.7
celite,15,1.7,2.8
celite,15,1.9,2.4
celite,23,1.9,2.8
celite,23,1.9,3.5
sterchamol,1.8,4.1,
sterchamol,2.0,3.5,
sterchamol,3.2,2.5,
sterchamol,3.3,2.5,
sterchamol,5.0,1.6,
sterchamol,5.0,1.6,
sterchamol,5.0,1.7,
sterchamol,17,1.2,
sterchamol,17,1.1,
sterchamol,17,1.2,
sterchamol,17,1.2,
sterchamol,31,1.7,
