# Brunauer, Emmett & Teller (1938), J. Am. Chem. Soc. 60(2) 309-319.
# Every NUMBER STATED IN PROSE, IN A FOOTNOTE, OR IN A TYPESET CONSTANT BLOCK
# INSIDE A FIGURE FRAME that this page checks. NO CURVE IS DIGITISED ANYWHERE:
# the figure entries below are hand-lettered constant blocks and axis-frame
# legends, read as characters off a 300 ppi native render, cropped to the block.
# `printed` is verbatim as a number; `where` gives journal page and locus.
# Transcribed 2026-08-07.
key,printed,units,where,what_it_is
polar_n_minus_1,278e-6,-,p.310 text,index of refraction of argon gas minus 1 at 0 C and 760 mm (attributed to Int. Crit. Tables VII p. 11)
polar_alpha_over_r3,0.029,-,p.310 eq. (8),alpha/r^3 for argon from eq. (7) with the density of solid argon at 40 K (Int. Crit. Tables I p. 103)
polar_lattice_self,11.1,1/r^3,p.310 footnote 10,sum over the other atoms of the SAME close-packed layer
polar_lattice_adj_quad,8.357,1/r^3,p.310 footnote 10,first term of the adjacent-layer sum
polar_lattice_adj_cube,8.823,1/r^3,p.310 footnote 10,second term of the adjacent-layer sum
polar_net_adj,0.466,1/r^3,p.310 footnote 10,the coefficient multiplying (mu_i-1 + mu_i+1) in the mu_i equation
polar_d,-0.35,-,p.310 footnote 10 and eq. (9),the geometric constant d of eq. (9); also the coefficient of the reduced mu_i equation
polar_C,-0.01,-,p.311 text,ratio of induced dipoles in successive adsorbed argon layers
polar_K1,1e-4,-,p.311 text,K1 of eq. (4a) equals C^2 ("about 1 x 10^-4")
polar_alpha_r3_iodine,0.1,-,p.311 text,alpha/r^3 for iodine ("about 0.1")
bradley_k_CuSO4,0.6075,-,p.309 footnote 3,k Bradley derived for copper sulfate using eq. (1c)
bradley_k_Al2SO4,0.615,-,p.309 footnote 3,k Bradley derived for aluminum sulfate using eq. (1c)
bradley_k_upper_limit,0.5,-,p.309 footnote 3,the upper limit of k admitted by eq. (1b)
bradley_C_implied,0.99,-,p.310 text,the successive-dipole ratio implied by Bradley's k = 0.615
bradley_k_about,0.6,-,p.310 text,"Bradley ""obtained k values of about 0.6"""
bradley_layers_half_p0,30,layers,p.310 text,"layers Bradley believed he obtained at half saturation (""more than 30"")"
