# Brunauer, Emmett & Teller (1938), J. Am. Chem. Soc. 60(2) 309-319, TABLE I, journal page 314.
# "Values of Constants for Adsorption of Nitrogen at 90.1 K. on Various Adsorbents".
# Transcribed 2026-08-07 from a 300 ppi NATIVE render (pdfimages -list: CCITT-G4
# bilevel, 300 ppi), cropped to the table and re-read at digit scale. Text layer
# not used for any digit.
# v_m and point_B are per GRAM of adsorbent: "The constants v_m in the table are
# given for one gram of the adsorbent rather than for the entire sample."
# Six rows carry a leading-decimal typography (".56", ".14", ".05", ".09", ".12",
# ".10", ".55") in the printing; written here as 0.56 etc.
# curve_fig1 is blank where the substance has no curve in Fig. 1.
row,substance,curve_fig1,v_m_cc_per_g,point_B_cc_per_g,E1_minus_EL_cal_per_mol
1,Unpromoted Fe catalyst 973I,,0.13,0.12,794
2,Unpromoted Fe catalyst 973II,1,0.29,0.27,774
3,Fe-Al2O3 catalyst 954,,2.86,2.78,894
4,Fe-Al2O3 catalyst 424,2,2.23,2.09,774
5,Fe-Al2O3-K2O catalyst 931,,0.81,0.76,911
6,Fe-Al2O3-K2O catalyst 958,3,0.56,0.55,854
7,Fe-K2O catalyst 930,,0.14,0.12,772
8,Fused Cu catalyst,4,0.05,0.05,776
9,Commercial Cu catalyst,,0.09,0.10,834
10,Cr2O3 gel,5,53.3,50.5,738
11,Cr2O3 glowed,,6.09,6.14,835
12,Silica gel,6,116.2,127.0,794
