# Myers, A. L. & Prausnitz, J. M. (1965), AIChE Journal 11(1) 121-127.
# EVERY NUMBER THE PAPER PRINTS OUTSIDE ITS EQUATIONS that this page uses.
# The paper contains NO tables (its only tabular matter is the NOTATION list and
# LITERATURE CITED) and prints NO numerical results: every entry below is an
# experimental CONDITION, a COUNT the text states, a FIGURE-FRAME legend line of
# typeset text, or a bibliographic number from the reference list. NO CURVE IS
# DIGITISED ANYWHERE ON THIS PAGE and no data point is taken from any figure.
# Every value was read off a crop of a 300 ppi native render (pdfimages -list:
# CCITT-G4 bilevel, 300 x 300 ppi on all 7 pages); the text layer was not used
# for any digit. Transcribed 2026-08-08.
key,printed,units,where,what_it_is
fig2_T_C,20,C,Fig. 2 legend box p. 124,"temperature of the spreading-pressure curves (""T = 20 C""); the box says the curves are CALCULATED from the isotherms of Szepesy & Illes (1963)"
fig3_P_atm,1,atm,Fig. 3 legend box p. 124,"total pressure of the methane-ethane y-x prediction (""P = 1 ATM"")"
fig3_T_C,20,C,Fig. 3 legend box p. 124,temperature of the methane-ethane comparison
fig4_P_atm,1,atm,Fig. 4 legend box p. 124,total pressure of the methane-ethane amount-adsorbed prediction
fig4_T_C,20,C,Fig. 4 legend box p. 124,temperature
fig5_T_C,100,C,Fig. 5 caption p. 125,"CO-O2 on silica (""at 100 C., total pressure = 1 atm."")"
fig5_P_atm,1,atm,Fig. 5 caption p. 125,total pressure
fig5_silica_g,19.6,g,Fig. 5 legend box p. 125,"silica sample mass (""19.6 GM. OF SILICA"")"
fig6_T_C,0,C,Fig. 6 caption p. 125,CO-O2 on silica at 0 C
fig6_P_atm,1,atm,Fig. 6 caption p. 125,total pressure
fig6_silica_g,19.6,g,Fig. 6 legend box p. 125,silica sample mass
fig6_legend_year,1950,year,Fig. 6 legend box p. 125,"the year the legend attaches to ""MARKHAM & BENTON"" - contradicted by the paper's own reference list (see ref8_year)"
fig7_T_C,25,C,Fig. 7 caption and text p. 125,propane-propylene on silica gel at 25 C
fig7_P_atm,1,atm,Fig. 7 caption and text p. 125,total pressure
fig8_T_C,25.4,C,Fig. 8 legend box and text p. 125,ethylene-CO2 on activated carbon at 25.4 C (Bering & Serpenskii's system)
fig8_P1_mmHg,50,mmHg,text p. 125,first total pressure of the Fig. 8 calculations
fig8_P2_mmHg,150,mmHg,text p. 125,second total pressure of the Fig. 8 calculations
fig8_P3_mmHg,250,mmHg,text p. 125,third total pressure of the Fig. 8 calculations
fig9_P1_mmHg,50,mmHg,text p. 125,first total pressure of the Fig. 9 y-x diagram
fig9_P2_mmHg,200,mmHg,text p. 125,second total pressure of the Fig. 9 y-x diagram
fig10_T_C,25.4,C,Fig. 10 legend box p. 126,temperature of the selectivity-coefficient prediction
text_dof_binary,3,-,text p. 122,"""for binary adsorption equilibria there are 3 degrees of freedom"" (from eq. 18)"
text_unknowns,9,-,text p. 124 step 5,"""There are nine unknowns"" in the calculation scheme"
text_equations,7,-,text p. 124 step 5,"""Equations (36) through (42) are seven independent equations"""
text_specified,2,-,text p. 124 step 5,"""By specifying two independent quantities, such as P and y1"""
ref4_volume,17,-,ref. 4 p. 127,"Hill, T. L., J. Chem. Phys., 17, 520 (1949) - volume"
ref4_year,1949,year,ref. 4 p. 127,year of ref. 4
ref5_volume,63,-,ref. 5 p. 127,"""Ibid, 63, 456 (1959)"" - volume attributed to J. Chem. Phys. by the Ibid"
ref5_year,1959,year,ref. 5 p. 127,year of ref. 5
ref7_year,1950,year,ref. 7 p. 127,"Lewis, W. K., E. R. Gilliland, B. Chertow, and W. H. Hoffman, J. Am. Chem. Soc., 72, 1153 (1950)"
ref8_volume,53,-,ref. 8 p. 127,"Markham, E. C., and A. F. Benton, ibid., 53, 497 (1931) - volume (ibid = J. Am. Chem. Soc.)"
ref8_year,1931,year,ref. 8 p. 127,year of ref. 8 - the ONLY Markham & Benton reference the paper prints
ref9_volume,35,-,ref. 9 p. 127,"Szepesy, L., and V. Illes, Acta Chim. Hung., 35, 37 (1963) - volume"
ref9_year,1963,year,ref. 9 p. 127,year of refs. 9-11 (refs. 10 and 11 are Ibid. p. 53 and p. 245)
