symbol,value,unit,source,description
D_s,5.0e-13,m2/s,Table II,diffusion coefficient of lithium in the TiS2 particles
sigma,1.0e4,S/m,Table II,electronic conductivity of the insertion matrix
i_0_1,12.6,A/m2,Table II,exchange current density of the lithium anode at the initial concentration
alpha_a,0.5,-,Table II,anodic transfer coefficient (both electrodes)
alpha_c,0.5,-,Table II,cathodic transfer coefficient (both electrodes)
c_T,29000,mol/m3,Table II,maximum lithium concentration in the insertion material
k_2,1.0e-10,m4/(mol s),Table II,rate parameter of the insertion reaction (Eq. 17)
n,1,-,Table II,number of electrons
nu_plus,1,-,Table II,stoichiometric coefficient of the cation in the salt
nu_minus,1,-,Table II,stoichiometric coefficient of the anion in the salt
T,373.15,K,Table II,temperature (100 C)
delta_s,50e-6,m,Table II,separator thickness
delta_c,100e-6,m,Table II,composite cathode thickness
R_s,1.0e-6,m,Table II,radius of the insertion particles
c_0,1000,mol/m3,Table II,initial salt concentration
epsilon,0.3,-,Table II,porosity of the composite cathode
D,7.5e-12,m2/s,Appendix A,salt diffusion coefficient in the polymer (taken constant)
c_max,3920,mol/m3,Appendix A,salt solubility limit from the PEO phase diagram
t0_a,0.0107907,-,Appendix A,constant term of the transference-number fit
t0_b,1.48837e-4,m3/mol,Appendix A,slope of the transference-number fit in c
U_theta,2.17,V,Eq. 20,U_2(theta) - U_ref(theta) for TiS2 from West et al.
beta,-0.000558,m3/mol,Eq. 20,activity-correction slope in Eqs. 16 and 18
zeta,8.10,-,Eq. 20,activity-correction constant in Eqs. 16 and 18
u_0,0.01,-,Fig. 2 caption,initial solid utilisation for the discharge curves
V_cutoff,1.7,V,"text, journal page 1529",cutoff cell potential below which the cell is severely polarised
