quantity,value,unit,scales_with,source,kind
tau_d,2.2598e4,s,1/C,Table II,timescale
tau_n,2.5641e3,s,none,Table II,timescale
tau_p,1.0e3,s,none,Table II,timescale
tau_e,94.803,s,none,Table II,timescale
tau_r_n,847.534,s,none,Table II,timescale
tau_r_p,3.3901e4,s,none,Table II,timescale
L_n_dim,0.4444,-,none,Table III,dimensionless parameter
L_s_dim,0.1111,-,none,Table III,dimensionless parameter
L_p_dim,0.4444,-,none,Table III,dimensionless parameter
C_n,0.1134,-,C,Table III,dimensionless parameter
C_p,0.0442,-,C,Table III,dimensionless parameter
C_r_n,0.0375,-,C,Table III,dimensionless parameter
C_r_p,1.5,-,C,Table III,dimensionless parameter
sigma_n_dim,475.791,-,1/C,Table III,dimensionless parameter
sigma_p_dim,47.5791,-,1/C,Table III,dimensionless parameter
a_n_dim,1.8,-,none,Table III,dimensionless parameter
a_p_dim,1.5,-,none,Table III,dimensionless parameter
gamma_p,2.0501,-,none,Table III,dimensionless parameter
C_e_table3,4.19e-3,-,C,Table III,dimensionless parameter
gamma_e,0.04,-,none,Table III,dimensionless parameter
kappa_e_dim,5.2337,-,1/C,Table III,dimensionless parameter
C_e_text,5.1e-3,-,C,"text, journal page A3701",dimensionless parameter (inconsistent with Table III; see the page)
rms_spm_0p1C,1.72,mV,none,Table IV,RMS voltage error of the SPM vs their DFN (their cell; context only)
rms_spm_0p5C,9.62,mV,none,Table IV,RMS voltage error of the SPM vs their DFN (their cell; context only)
rms_spm_1C,19.86,mV,none,Table IV,RMS voltage error of the SPM vs their DFN (their cell; context only)
rms_spm_2C,40.67,mV,none,Table IV,RMS voltage error of the SPM vs their DFN (their cell; context only)
rms_spm_3C,62.78,mV,none,Table IV,RMS voltage error of the SPM vs their DFN (their cell; context only)
rms_spme_0p1C,0.17,mV,none,Table IV,RMS voltage error of the SPMe vs their DFN (their cell; context only)
rms_spme_0p5C,1.34,mV,none,Table IV,RMS voltage error of the SPMe vs their DFN (their cell; context only)
rms_spme_1C,3.04,mV,none,Table IV,RMS voltage error of the SPMe vs their DFN (their cell; context only)
rms_spme_2C,7.36,mV,none,Table IV,RMS voltage error of the SPMe vs their DFN (their cell; context only)
rms_spme_3C,13.34,mV,none,Table IV,RMS voltage error of the SPMe vs their DFN (their cell; context only)
