symbol,region,value,unit,source,description
epsilon_n,negative electrode,0.3,-,Table I,electrolyte volume fraction
epsilon_s,separator,1,-,Table I,electrolyte volume fraction
epsilon_p,positive electrode,0.3,-,Table I,electrolyte volume fraction
c_n_max,negative electrode,2.4983e4,mol/m3,Table I,maximum lithium concentration
c_p_max,positive electrode,5.1218e4,mol/m3,Table I,maximum lithium concentration
sigma_n,negative electrode,100,S/m,Table I,solid conductivity
sigma_p,positive electrode,10,S/m,Table I,solid conductivity
D_s_n,negative electrode,3.9e-14,m2/s,Table I,electrode diffusivity
D_s_p,positive electrode,1.0e-13,m2/s,Table I,electrode diffusivity
R_n,negative electrode,1.0e-5,m,Table I,particle radius (10 um)
R_p,positive electrode,1.0e-5,m,Table I,particle radius (10 um)
a_n,negative electrode,1.8e5,1/m,Table I,electrode surface area density (0.18 1/um)
a_p,positive electrode,1.5e5,1/m,Table I,electrode surface area density (0.15 1/um)
m_n,negative electrode,2.0e-5,(A/m2)(m3/mol)^1.5,Table I,reaction rate
m_p,positive electrode,6.0e-7,(A/m2)(m3/mol)^1.5,Table I,reaction rate
L_n,negative electrode,1.0e-4,m,Table I,thickness (100 um)
L_s,separator,2.5e-5,m,Table I,thickness (25 um)
L_p,positive electrode,1.0e-4,m,Table I,thickness (100 um)
U_n_ref,negative electrode,0.18,V,Table I,reference OCP
U_p_ref,positive electrode,3.94,V,Table I,reference OCP
c_e_typ,global,1.0e3,mol/m3,Table I,typical lithium-ion concentration in electrolyte
D_e_typ,global,5.34e-10,m2/s,Table I,typical electrolyte diffusivity
kappa_e_typ,global,1.1,S/m,Table I,typical electrolyte conductivity
F,global,96485,C/mol,Table I,Faraday's constant
R_gas,global,8.314472,J/(mol K),Table I,universal gas constant
T,global,298.15,K,Table I,temperature
b,global,1.5,-,Table I,Bruggeman coefficient
t_plus,global,0.4,-,Table I,transference number
I_typ,global,24,A/m2,Table I,typical current density (1C)
c_n_0,negative electrode,0.8,-,Table III caption,initial stoichiometry
c_p_0,positive electrode,0.6,-,Table III caption,initial stoichiometry
V_cutoff,global,3.2,V,Table III caption,voltage cutoff used in the comparisons
