# Verbatim transcription of every equation and prose claim this page uses, with
# the book, page and equation number each was read from.  Read on renders at the
# resolutions given in the sidecar.  DEFECTS AND ODDITIES ARE FLAGGED, NEVER
# REPAIRED: the `as_printed` column is what the page prints, character for
# character within the limits of ASCII.
key,source,page,equation_number,as_printed,flag
froment_monod_rate,Froment-DeWilde-Bischoff-2011,27,(1.5.2-1),"r = r_m C_A / (K_S + C_A)",
froment_biomass,Froment-DeWilde-Bischoff-2011,27,(1.5.2-2),"r_B = dC_B/dt = r C_B = r_m C_B C_A / (K_S + C_A)",
froment_yield,Froment-DeWilde-Bischoff-2011,27,(1.5.2-3),"- dC_A/dt = dC_B / (y_B dt)","every Symbol-font operator in this book's equations extracts as an unmappable Private-Use-Area glyph - U+F02D for this leading minus, U+F03D for the = beside it - so all three pdftotext modes emit an operator that renders as nothing and the line LOOKS like a sign error. Read on the 300 ppi render, which carries all of them."
froment_inhibition,Froment-DeWilde-Bischoff-2011,27,(1.5.2-4),"r = r_m C_A / (K_S + C_A + C_A^2/K_i)","OUT OF SCOPE - belongs to J4.2 (Andrews/Haldane); transcribed only so the scope boundary is checkable"
froment_ks_definition,Froment-DeWilde-Bischoff-2011,27,prose,"K_S - the Monod- or saturation constant - is the concentration of substrate A at which the rate equals half of its maximum value, r_m.",
froment_rm_definition,Froment-DeWilde-Bischoff-2011,27,prose,"r_m is the maximum specific rate of biomass growth, i.e., the rate when the substrate concentration is not limiting (C_A much larger than K_S)",
froment_symbols,Froment-DeWilde-Bischoff-2011,27,prose,"In the original Monod equation, r is represented by mu, r_m by mu_max and C_A by S. Also, mu is called the growth rate constant, with dimension h-1.",
froment_shaped_after,Froment-DeWilde-Bischoff-2011,27,prose,"the empirical Monod-kinetics, which are shaped after the Michaelis-Menten kinetics for enzymatic reactions",
froment_asymptote,Froment-DeWilde-Bischoff-2011,27,prose,"In this case r, when plotted versus the substrate concentration, exhibits a maximum, whereas with Monod-kinetics it tends to an asymptotic value.","refers to eq. (1.5.2-4); the quantitative treatment is J4.2's, not this page's"
froment_selectivity_sum,Froment-DeWilde-Bischoff-2011,26,prose,"y_B + y_P + y_D = 1","a stoichiometric identity, not a kinetic constant; recorded because the page states what section 1.5.2 does and does not print"
froment_williams_fig_params,Froment-DeWilde-Bischoff-2011,29,"Fig. 1.5.2-1 caption","Evolution with time of various components of a batch culture [F.M. Williams, 1967] (for k1 = 0.0125 s-1; k2 = 0.025 s-1; M0/D0 = 1).","THE ONLY NUMERICAL CONSTANTS SECTION 1.5.2 PRINTS, and they are WILLIAMS' structured model (eqs. 1.5.2-5 to 1.5.2-8), which is J4.9's - not Monod's. No value for r_m, K_S or K_i appears anywhere in the section. Neither constant is used on this page."
froment_citation,Froment-DeWilde-Bischoff-2011,58,references,"Monod, J., Annu. Rev. Microbiol., 3, 371 (1949).","THE EXACT CITATION THIS CASE CATALOGUES - read at digit scale on a 300 ppi crop"
rawlings_monod,Rawlings-Ekerdt-2025,596,-,"Monod equation: mu = mu_m S / (K_s + S)",
rawlings_blackman,Rawlings-Ekerdt-2025,596,-,"Blackman equation: mu = mu_m for S >= 2 K_s ; mu = mu_m S / (2 K_s) for S < 2 K_s","branched - both branches and the switch are exercised on the page"
rawlings_tessier,Rawlings-Ekerdt-2025,596,-,"Tessier equation: mu = mu_m (1 - e^(-K_s S))","K_s here multiplies S in an exponent, so it is a RECIPROCAL concentration; see the sidecar - this is symbol reuse, not a misprint"
rawlings_moser,Rawlings-Ekerdt-2025,596,-,"Moser equation: mu = mu_m S^n / (K_s + S^n)","K_s here has units of concentration^n"
rawlings_contois,Rawlings-Ekerdt-2025,596,-,"Contois equation: mu = mu_m S / (K_sx X + S)",
rawlings_langmuir_claim,Rawlings-Ekerdt-2025,596,prose,"We recognize the Monod equation [12] for cell growth rate as the simplest form of the Langmuir adsorption isotherm and the resulting Hougen-Watson kinetics for reaction rates on catalyst surfaces discussed in Chapter 5.","proved as an exact algebraic identity on the page"
rawlings_substrate_inhibition,Rawlings-Ekerdt-2025,596,-,"substrate inhibition: mu = mu_m S / (K_s + S + K_1 S^2)","OUT OF SCOPE - J4.2"
rawlings_chemostat,Rawlings-Ekerdt-2025,596,(10.18),"dX/dt = (-D + mu_m S/(K_s+S)) X ; dS/dt = D(S_f - S) - (1/y) mu_m S/(K_s+S) X",
rawlings_steady_states,Rawlings-Ekerdt-2025,597,(10.19),"X_s1 = 0, S_s1 = S_f ; X_s2 = y(S_f - S_s2), S_s2 = D K_s/(mu_m - D)",
rawlings_Dc,Rawlings-Ekerdt-2025,597,prose,"D_c = mu_m S_f / (K_s + S_f)",
rawlings_figure_params,Rawlings-Ekerdt-2025,597,prose,"mu_m = 1   K_s = 1   S_f = 5   y = 1","BODY TEXT, not a caption: printed on p. 597 as 'The other parameter values used to prepare the figure are', the figure being 10.12. Reproduced numerically on the page."
rawlings_citation,Rawlings-Ekerdt-2025,620,[12],"J. Monod. The growth of bacterial cultures. Ann. Rev. Microbiol., 3:371-394, 1949.","carries the page range as well; the E1.1 target is Froment, and this is recorded only as corroboration"
rawlings_sources_of_the_five,Rawlings-Ekerdt-2025,595,prose,"Many different cell growth expressions have been found useful [1, 17]","[1] = Bailey & Ollis (1986), [17] = Shuler & Kargi (2002) - the five forms are cited to those two books, NOT to Blackman, Tessier, Moser or Contois themselves"
levenspiel_2918,Levenspiel-1999,643,29.18,"In his thesis, which was published as a book in 1948, Monod first proposed the celebrated equation that bears his name. As experimental support for this equation he presented results from four batch reactor runs on the growth of a pure bacterial culture in a lactose solution (see Monod, 1958, p. 74). Here are the reported data for one of his runs.",
levenspiel_2918_task,Levenspiel-1999,644,29.18,"Fit the Monod equation to this data.","no answer is printed anywhere in the file - see the sidecar for the search"
levenspiel_history,Levenspiel-1999,641,prose,"In 1939, as part of his thesis, Jacques Monod proposed the equation which we use here. The thesis was published as a book in 1948 and was later condensed and translated into English in 1949 (see end-of-chapter reference).","Levenspiel's account of the publication history, quoted as his; the 1939/1948/1949/1958 dates are all his"
levenspiel_citation,Levenspiel-1999,641,references,"Monod J., Ann. Rev. Microbiology, 3, 371 (1949)",
levenspiel_1958,Levenspiel-1999,641,references,"Recherches sur la Croissance des Cultures Bacteriennes, Second ed., Herman, Paris, 1958.","spelled Herman in the print; the publisher is usually written Hermann. Not repaired."
