# Verbatim transcription of every equation, constant and claim this page uses
# from Andrews, J. F., "A Mathematical Model for the Continuous Culture of
# Microorganisms Utilizing Inhibitory Substrates", Biotechnol. Bioeng. 10(6)
# 707-723 (1968).  Read on 300 ppi renders of the file's native CCITT-G4 images
# (pdfimages -list reports every page as 300x300 ppi), cropped to digit scale.
#
# THE PAPER PRINTS NO TABLE.  Every parameter set is typeset inside a FIGURE
# LEGEND; reading those legends is transcription, not digitising, and no curve
# is digitised anywhere on this page.  `page` is the BOOK page as printed on the
# page itself (707-723), not the PDF index.
#
# DEFECTS AND ODDITIES ARE FLAGGED, NEVER REPAIRED.
key,page,where,as_printed,flag
title_page,707,masthead and title,"BIOTECHNOLOGY AND BIOENGINEERING / VOL. X, PAGES 707-723 (1968) | A Mathematical Model for the Continuous Culture of Microorganisms Utilizing Inhibitory Substrates | JOHN F. ANDREWS, Environmental Systems Engineering, Clemson University, Clemson, South Carolina 29631","identity confirmed from the document's own title page on a 300 ppi render"
summary_batch_claim,707,Summary,"Simulation studies show that the primary result of inhibition by substrate in a batch culture is an increase in the lag time whereas in continuous culture inhibition by substrate may result in process instability.","THE TWO CLAIMS THIS PAGE TESTS. One sentence, both claims"
summary_purpose,707,Summary,"The key feature of the model is the use of a inhibition function to relate substrate concentration and specific growth rate.","printed 'a inhibition' [sic]; quoted as printed"
haldane_attribution,708,General Theory / Inhibition Function,"In order to illustrate the dynamic behavior of microorganisms utilizing an inhibitory substrate a function such as that proposed by Haldane for the inhibition of enzymes by high substrate concentration will be used. Although there is no theoretical basis for the use of this function for microorganisms...","the function is attributed to Haldane, reference 9 = J. B. S. Haldane, Enzymes, Longmans, London, 1930 - NOT ON DISK, NOT CONSULTED"
eq1,708,eq. (1),"mu = muhat / (1 + K_s/S + S/K_i)",
sym_muhat,709,prose,"muhat = maximum specific growth rate in the absence of inhibition, time^-1",
sym_Ks,709,prose,"K_s = saturation constant, numerically equals lowest concentration of substrate at which the specific growth rate is equal to one-half the maximum specific growth rate in the absence of inhibition, mass/volume","EXACT ONLY IN THE LIMIT K_s/K_i -> 0. Solving eq. (1) for mu = muhat/2 at his own K_s = 0.03, K_i = 2.0 gives 0.030464..., i.e. 1.55 % above the K_s he names; and the definition has no solution at all unless K_i >= 4 K_s. Quantified on the page; NOT repaired"
sym_Ki,709,prose,"K_i = inhibition constant, numerically equals the highest substrate concentration at which the specific growth rate is equal to one-half the maximum specific growth rate in the absence of inhibition, mass/volume","same approximation: the exact root at his own constants is 1.969536..., i.e. 1.52 % below the K_i he names"
monod_limit,709,prose,"In the usual continuous culture, operated near steady state, substrate concentrations are low and the term S/K_i is therefore much less than the term K_s/S even for low values of K_i. Under these conditions the inhibition function reduces to the Monod function.","the page confirms this numerically AND shows it is not the whole story: the STEADY STATE barely moves, the STABILITY changes completely"
well_separated,709,prose,"It will be noted that even when K_s and K_i are well separated there is a considerable reduction in the maximum specific growth rate attainable as compared to the case without inhibition.","the nearest thing in the paper to a qualification of the K_s / K_i definitions; it is about muhat_m, not about the definitions"
eq2,709,eq. (2),"muhat_m = muhat / (1 + 2 (K_s/K_i)^0.5)","derived on the page from eq. (1) and reproduced to double precision"
eq3,709,eq. (3),"S_m = (K_s K_i)^0.5",
two_values,709,prose,"Figure 1 also illustrates that there are two possible substrate concentrations for each value of the specific growth rate except at the maximum attainable specific growth rate. As will be shown later, the higher substrate concentration can represent an unstable situation in continuous culture.","THE CONTINUOUS-CULTURE CLAIM, stated analytically. Proved on the page from the Jacobian"
