time_h,N_UOD_per_ml,P_mg_per_ml,dNdt_UOD_per_ml_h,dPdt_mg_per_ml_h,k_per_h,invN_dPdt_mg_per_UOD_h
1.00,0.12,,0.04,,0.34,
1.50,0.14,,0.05,,,
2.00,0.17,,0.06,,0.36,
2.50,0.22,0.8,0.09,0.4,0.40,1.8
3.00,0.28,,0.13,,0.46,
3.50,0.35,1.25,0.16,0.56,0.47,1.60
4.00,0.45,1.6,0.21,0.74,0.478,1.66
4.50,0.57,1.95,0.27,0.92,0.48,1.61
5.00,0.72,2.5,0.35,1.20,0.48,1.66
5.50,0.91,3.2,0.44,1.51,0.48,1.66
6.00,1.15,4.0,0.55,1.81,0.48,1.58
6.50,1.39,5.0,0.67,2.10,0.48,1.51
7.00,1.76,6.1,0.85,2.54,0.48,1.45
7.50,2.21,7.6,1.06,3.48,0.478,1.58
8.00,2.79,9.5,1.33,4.37,0.475,1.57
8.50,3.46,12.0,1.63,5.58,0.470,1.62
9.00,4.31,14.9,1.99,6.53,0.460,1.51
9.50,5.35,18.2,2.09,7.05,0.390,1.32
10.00,6.30,21.6,1.70,7.34,0.270,1.16
10.50,7.00,25.1,1.30,7.19,0.186,1.03
11.00,7.60,28.6,1.06,7.05,0.140,0.93
11.50,8.14,31.8,0.89,6.44,0.109,0.79
12.00,8.51,34.9,0.74,6.24,0.087,0.72
12.50,8.84,37.9,0.62,5.86,0.070,0.66
13.00,9.13,40.7,0.54,5.57,0.059,0.61
13.50,9.40,43.3,0.44,5.00,0.047,0.53
14.00,,44.9,,,,
