quantity,particle_shape,value,unit,source
K1,spheres,154,-,Table 3
k1,spheres,1.15,-,Table 3
k2,spheres,0.87,-,Table 3
sigma_rel_rms,spheres,0.1613,-,Table 3
K1,cylinders,190,-,Table 3
k1,cylinders,2.00,-,Table 3
k2,cylinders,0.77,-,Table 3
sigma_rel_rms,cylinders,0.1586,-,Table 3
K1,all,155,-,Table 3
k1,all,1.42,-,Table 3
k2,all,0.83,-,Table 3
sigma_rel_rms,all,0.1773,-,Table 3
sigma_ergun1952,spheres,0.1905,-,Table 2
sigma_ergun1952,cylinders,0.2371,-,Table 2
sigma_ergun1952,all,0.1984,-,Table 2
sigma_carman1937,spheres,0.1889,-,Table 2
sigma_carman1937,cylinders,0.3094,-,Table 2
sigma_carman1937,all,0.2123,-,Table 2
sigma_reichelt1972,spheres,0.1684,-,Table 2
sigma_reichelt1972,cylinders,0.1673,-,Table 2
n_data_points,all,2391,-,Table 1 total
D_over_dp_min,all,1.624,-,Table 1 total
D_over_dp_max,all,250,-,Table 1 total
eps_min,all,0.330,-,Table 1 total
eps_max,all,0.882,-,Table 1 total
