series,Re_over_one_minus_eps,f_v
present_investigation,7.2345,154.671
present_investigation,7.2872,149.293
present_investigation,7.9373,161.811
present_investigation,7.9656,154.671
present_investigation,8.5248,153.274
present_investigation,8.5529,160.34
present_investigation,8.8701,155.859
present_investigation,9.6218,161.06
present_investigation,10.2122,162.545
present_investigation,10.2316,152.95
present_investigation,10.26,171.841
present_investigation,10.4861,155.859
present_investigation,10.5645,164.926
present_investigation,12.3965,164.413
present_investigation,12.3965,171.841
present_investigation,12.9136,174.829
present_investigation,12.9842,161.06
present_investigation,14.0378,177.503
present_investigation,14.6633,177.503
present_investigation,16.6739,182.348
present_investigation,17.168,177.998
present_investigation,17.4264,168.139
present_investigation,19.2822,187.483
present_investigation,19.7711,178.031
present_investigation,20.7147,180.854
present_investigation,20.7234,189.123
present_investigation,21.561,180.261
present_investigation,22.3297,185.452
present_investigation,22.513,176.744
present_investigation,23.4354,178.538
present_investigation,24.2315,184.948
present_investigation,25.1052,179.654
present_investigation,25.6584,193.182
present_investigation,25.8126,184.345
present_investigation,26.8489,189.384
present_investigation,28.5868,200.323
present_investigation,28.6284,190.674
present_investigation,29.6906,193.784
present_investigation,30.6574,207.163
present_investigation,30.9492,194.994
present_investigation,31.7512,202.223
present_investigation,36.0692,209.622
present_investigation,36.0692,219.823
present_investigation,39.1412,216.583
present_investigation,41.7634,222.197
present_investigation,42.8735,229.326
present_investigation,44.3502,220.578
present_investigation,44.6099,231.55
present_investigation,46.4455,230.327
present_investigation,48.2212,224.385
present_investigation,49.0733,248.842
present_investigation,49.2838,230.668
present_investigation,51.6805,240.189
present_investigation,53.3109,252.665
present_investigation,54.5536,241.97
present_investigation,55.6256,254.321
present_investigation,57.02,245.013
present_investigation,58.3008,254.404
present_investigation,60.583,246.594
present_investigation,61.2406,265.402
present_investigation,63.3214,255.403
present_investigation,66.584,270.018
present_investigation,71.0558,266.782
present_investigation,74.089,279.289
present_investigation,81.0149,286.945
present_investigation,81.9026,299.448
present_investigation,87.8837,311.266
present_investigation,93.9151,946.769
present_investigation,96.903,333.899
present_investigation,98.5733,321.037
present_investigation,110.5842,364.093
present_investigation,111.8656,354.37
present_investigation,123.9909,380.718
present_investigation,136.3224,397.451
