series,Re_over_one_minus_eps,f_k,f_v
burke_plummer,7.4496,23.37728,174.15
burke_plummer,8.4701,19.84364,168.077
burke_plummer,8.7166,19.13713,166.812
burke_plummer,9.704,17.43542,169.193
burke_plummer,16.5649,11.00256,182.257
burke_plummer,17.0866,10.69108,182.675
burke_plummer,19.5227,9.59289,187.279
burke_plummer,20.2804,9.00005,182.525
burke_plummer,20.9576,8.28507,173.635
burke_plummer,21.199,9.15325,194.039
burke_plummer,22.2575,8.25928,183.831
burke_plummer,23.2602,8.71674,202.753
burke_plummer,25.6019,8.06567,206.497
burke_plummer,25.8914,7.4552,193.025
burke_plummer,32.2028,6.34537,204.339
burke_plummer,33.2009,6.56379,217.924
burke_plummer,35.5157,5.99618,212.958
burke_plummer,37.4575,6.01468,225.295
burke_plummer,39.0123,5.85322,228.348
burke_plummer,39.5978,5.62923,222.905
burke_plummer,41.1449,5.76847,237.343
burke_plummer,41.7434,5.13391,214.307
burke_plummer,41.9255,5.42039,227.252
burke_plummer,48.1903,4.74022,228.432
burke_plummer,48.8644,4.90377,239.62
burke_plummer,50.837,4.7373,240.83
burke_plummer,54.0559,4.37436,236.46
burke_plummer,59.4318,4.25311,252.77
burke_plummer,71.9118,3.80134,273.361
burke_plummer,74.7452,3.66287,273.782
burke_plummer,78.161,3.6222,283.115
burke_plummer,78.161,3.96984,310.286
burke_plummer,78.2964,3.80134,297.631
burke_plummer,82.0539,3.54285,290.705
burke_plummer,91.9841,3.50486,322.391
burke_plummer,98.7842,3.31717,327.684
burke_plummer,102.0365,3.44137,351.145
burke_plummer,129.9837,3.04827,396.226
burke_plummer,134.2964,2.95922,397.412
burke_plummer,145.6278,2.89097,421.006
burke_plummer,154.7001,2.80392,433.766
burke_plummer,160.2113,2.91789,467.48
burke_plummer,161.9333,2.76787,448.211
burke_plummer,163.7048,2.64819,433.52
burke_plummer,165.836,2.91,482.583
burke_plummer,180.3494,2.73819,493.831
burke_plummer,195.8867,2.55239,499.979
burke_plummer,196.7309,2.35272,462.852
burke_plummer,203.6103,2.633,536.106
burke_plummer,206.0777,2.51153,517.57
burke_plummer,214.0667,2.44651,523.716
burke_plummer,223.3383,2.55444,570.504
burke_plummer,229.8712,2.42869,558.286
burke_plummer,242.195,2.41628,585.212
burke_plummer,263.1682,2.25903,594.505
burke_plummer,263.3853,2.35272,619.671
burke_plummer,292.9162,2.18603,640.324
