marker_id,Re,Sh,Re_prev,Sh_prev,col_px,row_px,col_px_prev,row_px_prev,shape_fitted,fit_score,recentred,pass
0,4.2199,5.6435,4.116,5.623,695.37,971.48,690.99,972.01,circle,0.961,True,2026-07-30
0,4.2199,5.6435,4.332,5.623,695.37,971.48,699.99,972.01,circle,0.961,True,2026-07-30
1,5.7868,3.4835,5.659,3.561,750.94,1042.23,747.01,1039.0,circle,0.958,True,2026-07-30
2,14.5191,8.0733,14.05,8.017,912.82,918.97,907.04,919.99,circle,0.903,True,2026-07-30
3,23.5288,10.1818,,,997.77,884.94,,,circle,0.928,True,2026-08-02
4,25.7817,7.342,25.66,7.387,1013.86,932.89,1013.03,931.99,tri_down,0.701,True,2026-07-30
5,26.2588,5.4221,26.39,5.566,1017.09,977.34,1017.97,973.5,tri_down,0.617,True,2026-07-30
6,28.0752,8.6712,28.58,8.88,1028.86,908.49,1032.0,905.0,tri_up,0.516,True,2026-07-30
7,30.51,9.836,30.51,9.836,1043.5,890.0,1043.5,890.0,tri_up,0.482,False,2026-07-30
8,30.516,10.6424,30.6,10.75,1043.53,878.45,1044.01,876.97,circle,0.829,True,2026-07-30
9,32.66,8.582,32.66,8.582,1055.48,910.01,1055.48,910.01,tri_right,0.478,False,2026-07-30
10,36.28,8.182,36.28,8.182,1073.98,917.0,1073.98,917.0,tri_down,0.201,False,2026-07-30
11,36.4601,11.6977,37.54,11.74,1074.85,864.58,1079.99,864.06,circle,0.779,True,2026-07-30
11,36.4632,11.6966,35.67,11.82,1074.86,864.6,1070.99,863.06,circle,0.779,True,2026-07-30
12,37.0428,8.7221,36.49,8.641,1077.64,907.63,1074.99,909.0,tri_up,0.994,True,2026-07-30
13,41.59,8.582,41.59,8.582,1098.01,910.01,1098.01,910.01,tri_up,0.097,False,2026-07-30
14,42.2523,13.1548,41.82,13.28,1100.79,847.37,1098.98,845.98,circle,0.895,True,2026-07-30
15,43.7619,20.3543,43.27,20.27,1106.97,783.36,1104.98,783.96,circle,0.917,True,2026-07-30
