quantity,value,unit,description
Sc_figure2,0.6,-,Schmidt number printed inside Figure 2 (air-water vapour)
alpha_eq12,1.1,-,"coefficient in eq. (12), Sh = 2 + alpha Sc^(1/3) Re^beta"
beta_eq12,0.6,-,exponent in eq. (12)
Sh_limit,2.0,-,"stagnant-sphere limit built into eqs. (9), (10) and (12)"
E0_over_Dv,20.0,-,"stagnant contribution to the effective dispersion coefficient, eq. (2), at infinite reaction rate"
E0_over_Dv_inert_lo,0.6,-,"stagnant contribution under INERT conditions, eq. (3), lower end"
E0_over_Dv_inert_hi,0.8,-,"stagnant contribution under INERT conditions, eq. (3), upper end"
dispersion_slope,0.5,-,coefficient of Sc*Re in eqs. (1)-(3)
alpha_ranz,0.6,-,"Ranz-Marshall eq. (9), Sh = 2 + 0.6 Sc^(1/3) Re^(1/2)"
beta_ranz,0.5,-,Ranz-Marshall exponent
jd_petrovic,0.357,-,"Petrovic-Thodos eq. (11), eps_b*j_D = 0.357 Re^-0.359"
jd_exp_petrovic,-0.359,-,Petrovic-Thodos exponent
Pe_petrovic,2.0,-,"axial Peclet number assumed by Petrovic and Thodos, d_p U / D_ax"
Re_lo_correlation,3.0,-,lower end of the Reynolds range eq. (12) is claimed for
Re_hi_correlation,10000.0,-,upper end of the Reynolds range eq. (12) is claimed for
Re_lo_petrovic,3.0,-,lower end of the range eq. (11) is claimed for
Re_hi_petrovic,900.0,-,upper end of the range eq. (11) is claimed for
eps_b_figure2,0.4,-,"bed void fraction that puts eq. (11) on the straight line drawn in Figure 2 (fitted, see the page)"
Sh_limit_gas_miyauchi,12.5,-,limiting gas-phase Sherwood number reported by Miyauchi et al. [20] at bed void 0.5
Sh_limit_liquid_miyauchi,16.7,-,limiting liquid-phase Sherwood number reported by Miyauchi et al. [36] at bed void 0.4
