# Oh & Cavendish (1982), Table I "Standard Set of Parameter Values", plus the
# feed compositions for case 1 (step increase) and case 2 (step decrease).
# Every value read from a 600 dpi render of journal page 31 (PDF page 3).
symbol,value,unit,description,case,source
P_tot,101.3,kPa,total pressure,both,Table I
W_g,40.0,g/s,mass flow rate of exhaust gas,both,Table I
A,60.0,cm2,frontal area of the monolith,both,Table I
L,10.0,cm,length of monolith,both,Table I
R_h,0.06062,cm,hydraulic radius 2*(area/wetted perimeter) of a square channel,both,Table I
eps,0.6836,-,void fraction of the monolith,both,Table I
rho_s,2.5,g/cm3,solid density,both,Table I
a,268.95,cm2Pt/cm3,catalytic surface area per unit reactor volume,both,Table I
lambda_s,0.01675,J/(cm s K),thermal conductivity of the solid,both,Table I
C_pg,1.089,J/(g K),specific heat of gas,both,Table I
C_ps_c0,1.071,J/(g K),constant term of C_ps = c0 + c1*T_s + c2/T_s^2,both,Table I
C_ps_c1,0.000156,J/(g K2),linear coefficient of C_ps,both,Table I
C_ps_c2,-34350.0,J K/g,inverse-square coefficient of C_ps,both,Table I
T_s0,300.0,K,initial solid temperature,case 1,Table I
T_g_in,600.0,K,inlet gas temperature after the step,case 1,Table I
y_CO_in,0.02,mole fraction,inlet CO,case 1,Table I
y_C3H6_in,0.00045,mole fraction,inlet propylene (450 ppm),case 1,Table I
y_CH4_in,0.00005,mole fraction,inlet methane (50 ppm),case 1,Table I
y_H2_in,0.00667,mole fraction,inlet hydrogen,case 1,Table I
y_O2_in,0.05,mole fraction,inlet oxygen,case 1,Table I
y_NO_in,0.0005,mole fraction,inlet NO (500 ppm),case 1,Table I
T_s0,750.0,K,initial solid temperature,case 2,Table I
T_g_in,300.0,K,inlet gas temperature after the step,case 2,Table I
y_CO_in,0.02,mole fraction,inlet CO,case 2,Table I
y_C3H6_in,0.006,mole fraction,inlet propylene (6000 ppm),case 2,Table I
y_CH4_in,0.00065,mole fraction,inlet methane (650 ppm),case 2,Table I
y_H2_in,0.00667,mole fraction,inlet hydrogen,case 2,Table I
y_O2_in,0.035,mole fraction,inlet oxygen,case 2,Table I
y_NO_in,0.0001,mole fraction,inlet NO (100 ppm),case 2,Table I
k1_A,6699000000.0,mol K/(cm2 s),pre-exponential of the CO rate constant,both,eq 5
k1_E_over_R,12556.0,K,activation temperature of the CO rate constant,both,eq 5
k2_A,139200000000.0,mol K/(cm2 s),pre-exponential of the C3H6 rate constant,both,eq 5
k2_E_over_R,14556.0,K,activation temperature of the C3H6 rate constant,both,eq 5
k3_A,7326000.0,mol K/(cm2 s),pre-exponential of the CH4 rate constant,both,eq 5
k3_E_over_R,19000.0,K,activation temperature of the CH4 rate constant,both,eq 5
K1_A,65.5,1/mole fraction,pre-exponential of adsorption constant K1,both,eq 6
K1_dH_over_R,-961.0,K,exponent of K1 is -dH/R with K1 = A exp(961/T),both,eq 6
K2_A,2080.0,1/mole fraction,pre-exponential of adsorption constant K2,both,eq 6
K2_dH_over_R,-361.0,K,exponent of K2 is -dH/R with K2 = A exp(361/T),both,eq 6
K3_A,3.98,1/(mole fraction)^4,pre-exponential of adsorption constant K3,both,eq 6
K3_dH_over_R,-11611.0,K,exponent of K3 is -dH/R with K3 = A exp(11611/T),both,eq 6
K4_A,479000.0,1/(mole fraction)^0.7,pre-exponential of adsorption constant K4,both,eq 6
K4_dH_over_R,3733.0,K,exponent of K4 is -dH/R with K4 = A exp(-3733/T),both,eq 6
lambda_g_A,2.269e-06,J/(cm s K),pre-factor of lambda_g = A*T_g^n (nitrogen),both,text p. 31
lambda_g_n,0.832,-,exponent of lambda_g = A*T_g^n,both,text p. 31
