# Oh & Cavendish (1982): every numerical RESULT the paper prints for case 2
# (step decrease in feed temperature) at the standard conditions of Table I.
# Table III is journal page 37; the in-text values are journal pages 34 and 36.
# These are the authors' own computed values, not measurements - see the sidecar.
quantity,condition,value,unit,source
T_s_max,lambda_s = 1.675e-3 J/(cm s K),996,K,Table III
x_max_over_L,lambda_s = 1.675e-3 J/(cm s K),0.6625,-,Table III
T_s_max,lambda_s = 1.675e-2 J/(cm s K) (standard),991,K,Table III
x_max_over_L,lambda_s = 1.675e-2 J/(cm s K) (standard),0.6750,-,Table III
T_s_max,lambda_s = 1.675e-1 J/(cm s K),975,K,Table III
x_max_over_L,lambda_s = 1.675e-1 J/(cm s K),0.7625,-,Table III
t_at_T_s_max,standard case 2,10.1,s,"text, journal p. 34"
T_s_max,standard case 2,991,K,"text, journal p. 34"
x_max_over_L,standard case 2,0.675,-,"text, journal p. 34"
temperature_rise,standard case 2 (uniform Pt profile),241,degC,"text, journal p. 36"
Lewis_number_H2,standard conditions,4,-,"text, journal p. 33"
n_grid_points,all reported runs,81,-,"text, journal p. 31"
