curve,utilisation,cell_potential_V
charge (I=-10),0.0024,2.807
charge (I=-10),0.0066,2.7613
charge (I=-10),0.0108,2.7416
charge (I=-10),0.015,2.7155
charge (I=-10),0.0192,2.7024
charge (I=-10),0.0234,2.6871
charge (I=-10),0.0276,2.6784
charge (I=-10),0.0319,2.6653
charge (I=-10),0.0361,2.6566
charge (I=-10),0.0403,2.6479
charge (I=-10),0.0445,2.6414
charge (I=-10),0.0487,2.6348
charge (I=-10),0.0529,2.6261
charge (I=-10),0.0571,2.6217
charge (I=-10),0.0613,2.6152
charge (I=-10),0.0655,2.6086
charge (I=-10),0.0697,2.6043
charge (I=-10),0.0739,2.5978
charge (I=-10),0.0781,2.5934
charge (I=-10),0.0823,2.5869
charge (I=-10),0.0865,2.5825
charge (I=-10),0.0907,2.5781
charge (I=-10),0.095,2.5738
charge (I=-10),0.0992,2.5694
charge (I=-10),0.1034,2.565
charge (I=-10),0.1076,2.5607
charge (I=-10),0.1118,2.5585
charge (I=-10),0.116,2.552
charge (I=-10),0.1202,2.552
charge (I=-10),0.1244,2.5476
charge (I=-10),0.1286,2.5432
charge (I=-10),0.1328,2.5389
charge (I=-10),0.137,2.5345
charge (I=-10),0.1412,2.5302
charge (I=-10),0.1454,2.5258
charge (I=-10),0.1496,2.5258
charge (I=-10),0.1538,2.5214
charge (I=-10),0.158,2.5171
charge (I=-10),0.1623,2.5127
charge (I=-10),0.1665,2.5084
charge (I=-10),0.1707,2.5062
charge (I=-10),0.1749,2.504
charge (I=-10),0.1791,2.4996
charge (I=-10),0.1833,2.4953
charge (I=-10),0.1875,2.4931
charge (I=-10),0.1917,2.4909
charge (I=-10),0.1959,2.4866
charge (I=-10),0.2001,2.4822
charge (I=-10),0.2043,2.48
charge (I=-10),0.2085,2.4778
charge (I=-10),0.2127,2.4735
charge (I=-10),0.217,2.4713
charge (I=-10),0.2212,2.4691
charge (I=-10),0.2254,2.4647
charge (I=-10),0.2296,2.4604
charge (I=-10),0.2338,2.4604
charge (I=-10),0.238,2.456
charge (I=-10),0.2422,2.4539
charge (I=-10),0.2464,2.4517
charge (I=-10),0.2506,2.4473
charge (I=-10),0.2548,2.4451
charge (I=-10),0.259,2.4408
charge (I=-10),0.2632,2.4386
charge (I=-10),0.2674,2.4342
charge (I=-10),0.2716,2.432
charge (I=-10),0.2758,2.4299
charge (I=-10),0.2801,2.4255
charge (I=-10),0.2843,2.4255
charge (I=-10),0.2885,2.4211
charge (I=-10),0.2927,2.4168
charge (I=-10),0.2969,2.4146
charge (I=-10),0.3011,2.4124
charge (I=-10),0.3053,2.4081
charge (I=-10),0.3095,2.4059
charge (I=-10),0.3137,2.4037
charge (I=-10),0.3179,2.3994
charge (I=-10),0.3221,2.3994
charge (I=-10),0.3263,2.395
charge (I=-10),0.3305,2.3906
charge (I=-10),0.3347,2.3884
charge (I=-10),0.3389,2.3863
charge (I=-10),0.3432,2.3819
charge (I=-10),0.3474,2.3819
charge (I=-10),0.3516,2.3775
charge (I=-10),0.3558,2.3775
charge (I=-10),0.36,2.3732
charge (I=-10),0.3642,2.3688
charge (I=-10),0.3684,2.3645
charge (I=-10),0.3726,2.3645
charge (I=-10),0.3768,2.3601
charge (I=-10),0.381,2.3601
charge (I=-10),0.3852,2.3557
charge (I=-10),0.3894,2.3557
charge (I=-10),0.3936,2.347
charge (I=-10),0.3978,2.347
charge (I=-10),0.402,2.3427
charge (I=-10),0.4062,2.3427
charge (I=-10),0.4105,2.3383
charge (I=-10),0.4147,2.3361
charge (I=-10),0.4189,2.3339
charge (I=-10),0.4231,2.3296
charge (I=-10),0.4273,2.3252
charge (I=-10),0.4315,2.3252
charge (I=-10),0.4357,2.3209
charge (I=-10),0.4399,2.3209
charge (I=-10),0.4441,2.3165
charge (I=-10),0.4483,2.3165
charge (I=-10),0.4525,2.31
charge (I=-10),0.4567,2.3078
charge (I=-10),0.4609,2.3034
charge (I=-10),0.4651,2.3034
charge (I=-10),0.4693,2.2991
charge (I=-10),0.4736,2.2991
charge (I=-10),0.4778,2.2969
charge (I=-10),0.482,2.2925
charge (I=-10),0.4862,2.2925
charge (I=-10),0.4904,2.2894
charge (I=-10),0.4946,2.286
charge (I=-10),0.4988,2.286
charge (I=-10),0.503,2.2816
charge (I=-10),0.5072,2.2772
charge (I=-10),0.5114,2.2772
charge (I=-10),0.5156,2.2729
charge (I=-10),0.5198,2.2685
charge (I=-10),0.524,2.2685
charge (I=-10),0.5282,2.2642
charge (I=-10),0.5324,2.2642
charge (I=-10),0.5367,2.2598
charge (I=-10),0.5409,2.2555
charge (I=-10),0.5451,2.2555
charge (I=-10),0.5493,2.2511
charge (I=-10),0.5535,2.2489
charge (I=-10),0.5577,2.2467
charge (I=-10),0.5619,2.2424
charge (I=-10),0.5661,2.2402
charge (I=-10),0.5703,2.238
charge (I=-10),0.5745,2.2336
charge (I=-10),0.5787,2.2336
charge (I=-10),0.5829,2.2293
charge (I=-10),0.5871,2.2249
charge (I=-10),0.5914,2.2249
charge (I=-10),0.5956,2.2206
charge (I=-10),0.5998,2.2162
charge (I=-10),0.604,2.2162
charge (I=-10),0.6082,2.2119
charge (I=-10),0.6124,2.2119
charge (I=-10),0.6166,2.2075
charge (I=-10),0.6208,2.2031
charge (I=-10),0.625,2.1988
charge (I=-10),0.6292,2.1988
charge (I=-10),0.6334,2.1944
charge (I=-10),0.6376,2.1922
charge (I=-10),0.6418,2.19
charge (I=-10),0.646,2.1857
charge (I=-10),0.6502,2.1857
charge (I=-10),0.6544,2.1813
charge (I=-10),0.6586,2.1813
charge (I=-10),0.6629,2.177
charge (I=-10),0.6671,2.1726
charge (I=-10),0.6713,2.1682
charge (I=-10),0.6755,2.1682
charge (I=-10),0.6797,2.1639
charge (I=-10),0.6839,2.1639
charge (I=-10),0.6881,2.1595
charge (I=-10),0.6923,2.1552
charge (I=-10),0.6965,2.1552
charge (I=-10),0.7007,2.1508
charge (I=-10),0.7049,2.1464
charge (I=-10),0.7091,2.1464
charge (I=-10),0.7133,2.1421
charge (I=-10),0.7176,2.1377
charge (I=-10),0.7218,2.1334
charge (I=-10),0.726,2.129
charge (I=-10),0.7302,2.129
charge (I=-10),0.7344,2.1246
charge (I=-10),0.7386,2.1203
charge (I=-10),0.7428,2.1203
charge (I=-10),0.747,2.1159
charge (I=-10),0.7512,2.1116
charge (I=-10),0.7554,2.1094
charge (I=-10),0.7596,2.1072
charge (I=-10),0.7638,2.1028
charge (I=-10),0.768,2.0985
charge (I=-10),0.7722,2.0941
charge (I=-10),0.7764,2.0941
charge (I=-10),0.7806,2.0876
charge (I=-10),0.7849,2.0854
charge (I=-10),0.7891,2.081
charge (I=-10),0.7933,2.0767
charge (I=-10),0.7975,2.0723
charge (I=-10),0.8017,2.068
charge (I=-10),0.8059,2.0647
charge (I=-10),0.8101,2.0592
charge (I=-10),0.8143,2.0549
charge (I=-10),0.8185,2.0505
charge (I=-10),0.8227,2.0461
charge (I=-10),0.8269,2.0418
charge (I=-10),0.8311,2.0331
charge (I=-10),0.8353,2.0265
charge (I=-10),0.8395,2.02
charge (I=-10),0.8438,2.0113
charge (I=-10),0.848,2.0036
charge (I=-10),0.8522,1.996
charge (I=-10),0.8564,1.9796
charge (I=-10),0.8606,1.9698
open-circuit (dashed),0.0042,2.5776
open-circuit (dashed),0.0066,2.5694
open-circuit (dashed),0.009,2.5629
open-circuit (dashed),0.0186,2.5386
open-circuit (dashed),0.021,2.5345
open-circuit (dashed),0.0234,2.5302
open-circuit (dashed),0.0258,2.5258
open-circuit (dashed),0.0283,2.5236
open-circuit (dashed),0.0379,2.5081
open-circuit (dashed),0.0403,2.504
open-circuit (dashed),0.0427,2.5018
open-circuit (dashed),0.0451,2.4996
open-circuit (dashed),0.0535,2.4849
open-circuit (dashed),0.0559,2.4844
open-circuit (dashed),0.0583,2.4822
open-circuit (dashed),0.0607,2.4778
open-circuit (dashed),0.0631,2.4778
open-circuit (dashed),0.0727,2.4653
open-circuit (dashed),0.0751,2.4647
open-circuit (dashed),0.0775,2.4647
open-circuit (dashed),0.0799,2.4604
open-circuit (dashed),0.0823,2.4582
open-circuit (dashed),0.092,2.45
open-circuit (dashed),0.0944,2.4473
open-circuit (dashed),0.0968,2.4473
open-circuit (dashed),0.0992,2.443
open-circuit (dashed),0.1016,2.4408
open-circuit (dashed),0.1112,2.434
open-circuit (dashed),0.1136,2.432
open-circuit (dashed),0.116,2.4299
open-circuit (dashed),0.1184,2.4277
open-circuit (dashed),0.1292,2.4184
open-circuit (dashed),0.1316,2.4168
open-circuit (dashed),0.134,2.4146
open-circuit (dashed),0.1364,2.4124
open-circuit (dashed),0.1388,2.4103
open-circuit (dashed),0.1484,2.4021
open-circuit (dashed),0.1508,2.3994
open-circuit (dashed),0.1532,2.3994
open-circuit (dashed),0.1557,2.3994
open-circuit (dashed),0.158,2.3972
open-circuit (dashed),0.1677,2.3872
open-circuit (dashed),0.1701,2.3863
open-circuit (dashed),0.1725,2.3863
open-circuit (dashed),0.1749,2.3841
open-circuit (dashed),0.1845,2.3759
open-circuit (dashed),0.1869,2.3754
open-circuit (dashed),0.1893,2.3732
open-circuit (dashed),0.1917,2.371
open-circuit (dashed),0.1941,2.3688
open-circuit (dashed),0.2037,2.3628
open-circuit (dashed),0.2061,2.3623
open-circuit (dashed),0.2085,2.3601
open-circuit (dashed),0.2109,2.3579
open-circuit (dashed),0.2133,2.3557
open-circuit (dashed),0.2254,2.3489
open-circuit (dashed),0.2278,2.347
open-circuit (dashed),0.2302,2.3448
open-circuit (dashed),0.2326,2.3427
open-circuit (dashed),0.2434,2.3361
open-circuit (dashed),0.2458,2.3339
open-circuit (dashed),0.2482,2.3318
open-circuit (dashed),0.2506,2.3318
open-circuit (dashed),0.2602,2.3268
open-circuit (dashed),0.2626,2.3209
open-circuit (dashed),0.265,2.3209
open-circuit (dashed),0.2674,2.3209
open-circuit (dashed),0.2698,2.3187
open-circuit (dashed),0.2794,2.3121
open-circuit (dashed),0.2818,2.31
open-circuit (dashed),0.2843,2.3078
open-circuit (dashed),0.2867,2.3056
open-circuit (dashed),0.2891,2.3034
open-circuit (dashed),0.2999,2.2969
open-circuit (dashed),0.3023,2.2947
open-circuit (dashed),0.3047,2.2947
open-circuit (dashed),0.3071,2.2947
open-circuit (dashed),0.3179,2.2858
open-circuit (dashed),0.3203,2.2858
open-circuit (dashed),0.3227,2.2816
open-circuit (dashed),0.3251,2.2816
open-circuit (dashed),0.3275,2.2794
open-circuit (dashed),0.3371,2.2729
open-circuit (dashed),0.3395,2.2707
open-circuit (dashed),0.3419,2.2689
open-circuit (dashed),0.3443,2.2689
open-circuit (dashed),0.3552,2.2617
open-circuit (dashed),0.3576,2.2598
open-circuit (dashed),0.36,2.2598
open-circuit (dashed),0.3624,2.2576
open-circuit (dashed),0.3648,2.2563
open-circuit (dashed),0.3744,2.2489
open-circuit (dashed),0.3768,2.2467
open-circuit (dashed),0.3792,2.2467
open-circuit (dashed),0.3816,2.2451
open-circuit (dashed),0.3924,2.2375
open-circuit (dashed),0.3948,2.2358
open-circuit (dashed),0.3972,2.2336
open-circuit (dashed),0.3996,2.2336
open-circuit (dashed),0.402,2.2301
open-circuit (dashed),0.4129,2.2228
open-circuit (dashed),0.4153,2.2206
open-circuit (dashed),0.4177,2.2206
open-circuit (dashed),0.4201,2.2206
open-circuit (dashed),0.4309,2.2116
open-circuit (dashed),0.4333,2.2097
open-circuit (dashed),0.4357,2.2097
open-circuit (dashed),0.4381,2.208
open-circuit (dashed),0.4489,2.1986
open-circuit (dashed),0.4513,2.1986
open-circuit (dashed),0.4537,2.1966
open-circuit (dashed),0.4561,2.1944
open-circuit (dashed),0.4682,2.1855
open-circuit (dashed),0.4706,2.1855
open-circuit (dashed),0.473,2.1843
open-circuit (dashed),0.4754,2.1835
open-circuit (dashed),0.4862,2.1768
open-circuit (dashed),0.4886,2.1768
open-circuit (dashed),0.491,2.1768
open-circuit (dashed),0.4934,2.1726
open-circuit (dashed),0.4958,2.1704
open-circuit (dashed),0.5066,2.1639
open-circuit (dashed),0.509,2.1639
open-circuit (dashed),0.5114,2.1639
open-circuit (dashed),0.5138,2.1617
open-circuit (dashed),0.5246,2.1546
open-circuit (dashed),0.527,2.153
open-circuit (dashed),0.5294,2.1508
open-circuit (dashed),0.5319,2.1508
open-circuit (dashed),0.5427,2.1418
open-circuit (dashed),0.5451,2.1399
open-circuit (dashed),0.5475,2.1377
open-circuit (dashed),0.5499,2.1377
open-circuit (dashed),0.5619,2.1288
open-circuit (dashed),0.5643,2.1288
open-circuit (dashed),0.5667,2.1277
open-circuit (dashed),0.5691,2.1277
open-circuit (dashed),0.5715,2.1271
open-circuit (dashed),0.5799,2.1184
