# Component definitions from Table 1 of Henze, Grady, Gujer, Marais & Matsuo (1987),
# Water Research 21(5) 505-515.  Read from a 600 dpi render of journal pages 506-507.
# `units` is the definition printed vertically under each column of the matrix.
i,symbol,name,units
1,S_I,Soluble inert organic matter,M(COD)L^-3
2,S_S,Readily biodegradable substrate,M(COD)L^-3
3,X_I,Particulate inert organic matter,M(COD)L^-3
4,X_S,Slowly biodegradable substrate,M(COD)L^-3
5,X_BH,Active heterotrophic biomass,M(COD)L^-3
6,X_BA,Active autotrophic biomass,M(COD)L^-3
7,X_P,Particulate products arising from biomass decay,M(COD)L^-3
8,S_O,Oxygen (negative COD),M(-COD)L^-3
9,S_NO,Nitrate and nitrite nitrogen,M(N)L^-3
10,S_NH,NH4+ + NH3 nitrogen,M(N)L^-3
11,S_ND,Soluble biodegradable organic nitrogen,M(N)L^-3
12,X_ND,Particulate biodegradable organic nitrogen,M(N)L^-3
13,S_ALK,Alkalinity,molar units
